Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,697.2734375,,
1,0,1,1,698.4375,23.3662726971476,0.163563908880033
2,0,2,2,698.4375,14.4395013218253,0.101076509252777
3.001,0,3,3,698.4375,16.6309231171273,0.116416461819891
4.001,0,4,4,698.4375,27.0694710906069,0.189486297634249
5.001,0,5,5,698.4375,28.8152084010075,0.201706458807053
6.001,0,6,6,698.4375,29.055385375603,0.203387697629221
7.001,0,7,7,698.4375,24.4429751500493,0.171100826050345
8,0,8,8,698.4375,31.0572681605435,0.217400877123804
9.001,0,9,9,698.825520833333,25.0229034635402,0.175160324244781
10.001,0,10,10,698.4375,23.3316715998338,0.163321701198837
11,0,11,11,698.4375,27.033827428261,0.189236791997827
12,0,12,12,698.4375,29.9409066306134,0.209586346414294
13.001,0,13,13,698.4375,19.9873213758073,0.139911249630651
14,1,14,14,698.4375,32.0337251057914,0.22423607574054
15.001,0,15,15,698.4375,16.6203660203486,0.116342562142441
16.001,0,16,16,698.4375,18.028808232675,0.126201657628725
17.001,6,17,17,698.4375,22.0003234047541,0.154002263833278
18,9,18,18,698.825520833333,35.5550735867803,0.248885515107462
19.001,20,19,19,698.4375,21.0011907675165,0.147008335372616
20,28,20,20,698.4375,22.1919351622669,0.155343546135868
21.001,23,21,21,698.4375,29.0169342828475,0.203118539979932
22.001,23,22,22,698.4375,29.0569720050102,0.203398804035072
23,32,23,23,698.4375,27.7652494802068,0.194356746361447
24.001,29,24,24,698.4375,23.3312620357371,0.163318834250159
25,23,25,25,698.4375,13.3064631487483,0.0931452420412381
26,30,26,26,698.4375,20.0149351446049,0.140104546012234
27.001,17,27,27,698.049479166667,17.746256482652,0.124223795378564
28,35,28,28,698.4375,22.0552483972351,0.154386738780646
29,31,29,29,698.4375,19.980958146886,0.139866707028202
30,29,30,30,698.4375,17.7702431946632,0.124391702362643
31,33,31,31,698.4375,18.0082027363464,0.126057419154425
32.001,35,32,32,698.4375,16.9772403116382,0.118840682181468
33,43,33,33,698.4375,26.9992845189602,0.188994991632722
34,41,34,34,698.4375,17.7732061142051,0.124412442799435
35.001,39,35,35,699.989583333333,18.8820724607306,0.132174507225114
36.001,41,36,36,698.4375,26.994217838539,0.188959524869773
37,50,37,37,698.4375,23.3263043402921,0.163284130382045
38,42,38,38,698.4375,25.5428692638212,0.178800084846748
38.999,31,39,39,698.4375,18.8885195133962,0.132219636593773
40,34,40,40,698.4375,17.9782517089077,0.125847761962354
41,38,41,41,698.4375,12.0341287892463,0.0842389015247241
42,39,42,42,698.825520833333,22.167684791483,0.155173793540381
43,51,43,43,698.4375,27.9960469581695,0.195972328707187
44.001,40,44,44,698.4375,17.0266279434407,0.119186395604085
45.001,56,45,45,698.4375,21.0961633073987,0.147673143151791
46,44,46,46,698.4375,16.6378978925551,0.116465285247886
47.001,38,47,47,698.4375,22.0286504627919,0.154200553239543
48,52,48,48,698.4375,17.9768188920387,0.125837732244271
49.001,39,49,49,698.4375,26.038949060004,0.182272643420028
50.001,38,50,50,698.4375,21.0798871138761,0.147559209797133
51.001,37,51,51,698.4375,16.0282385506786,0.11219766985475
52,39,52,52,698.4375,14.0041634377901,0.0980291440645304
53.001,34,53,53,698.4375,21.0885767952178,0.147620037566525
54,30,54,54,698.4375,24.0162782333866,0.168113947633706
55.001,32,55,55,698.4375,24.3999822545584,0.170799875781909
56,32,56,56,698.4375,24.0647437866837,0.168453206506786
57.001,40,57,57,698.4375,18.8553745082213,0.131987621557549
57.999,47,58,58,698.4375,14.9908855415907,0.104936198791135
59.001,44,59,59,698.4375,24.0071637376593,0.168050146163615
60,36,60,60,698.4375,29.9908228082207,0.209935759657545
61.001,28,61,61,698.4375,29.0458837826114,0.20332118647828
62.001,35,62,62,698.825520833333,22.1878064690769,0.155314645283538
63.001,42,63,63,698.4375,26.0196396239882,0.182137477367917
64,31,64,64,698.4375,21.9941825387185,0.15395927777103
65.001,32,65,65,698.4375,17.0192419549543,0.11913469368468
66,45,66,66,698.4375,22.211906025868,0.155483342181076
67,39,67,67,697.661458333333,23.9957527517629,0.167970269262341
68.001,36,68,68,697.661458333333,17.7704583234439,0.124393208264107
69,52,69,69,698.4375,18.0016093438753,0.126011265407127
70.001,40,70,70,698.4375,24.9999825000123,0.174999877500086
71,58,71,71,698.825520833333,24.9750449351009,0.174825314545706
72.001,55,72,72,698.4375,31.0957877979018,0.217670514585313
73.001,60,73,73,698.825520833333,26.9901863682365,0.188931304577656
74,47,74,74,698.4375,22.0705330093914,0.15449373106574
75,64,75,75,698.4375,12.2155891573098,0.0855091241011686
76,71,76,76,698.4375,25.5002398685607,0.178501679079925
77.001,78,77,77,698.4375,22.2142078296863,0.155499454807804
78,80,78,78,698.4375,18.0262010832745,0.126183407582922
79.004,75,79,79,698.4375,25.475531250668,0.178328718754676
80.001,81,80,80,698.4375,40.0941088923922,0.280658762246746
81.001,66,81,81,698.4375,26.0406442375259,0.182284509662682
82.001,86,82,82,698.4375,16.9878995191725,0.118915296634207
83.001,89,83,83,698.825520833333,16.6580008044704,0.116606005631293
84.001,72,84,84,698.4375,23.0186543174589,0.161130580222212
85.001,75,85,85,698.4375,17.7692544587224,0.124384781211057
86.001,66,86,86,698.4375,17.7686072021718,0.124380250415202
87,77,87,87,698.4375,23.3065153030579,0.163145607121406
88.001,68,88,88,698.4375,17.0378683662308,0.119265078563615
89,75,89,89,698.4375,27.7474313370388,0.194232019359272
90.001,57,90,90,698.4375,28.8601505922658,0.202021054145861
91,65,91,91,698.4375,31.0923209851291,0.217646246895904
92.001,56,92,92,698.4375,17.0230611409276,0.119161427986493
93.001,72,93,93,698.825520833333,19.9807917988174,0.139865542591722
94,61,94,94,698.4375,21.0301719877508,0.147211203914256
95.001,49,95,95,698.049479166667,22.179438086154,0.155256066603078
96,73,96,96,698.4375,27.7768179344025,0.194437725540817
97.001,34,97,97,698.4375,16.0214142222495,0.112149899555746
98.001,48,98,98,698.4375,27.7281320977086,0.19409692468396
99.001,50,99,99,698.4375,16.0090835540085,0.11206358487806
100.001,49,100,100,698.4375,27.026761899633,0.189187333297431
101.001,50,101,101,698.4375,27.7277230759095,0.194094061531367
102.001,50,102,102,698.4375,23.0162586851352,0.161113810795946
102.999,47,103,103,698.4375,21.1084960029952,0.147759472020966
104.001,51,104,104,698.4375,17.0008551430137,0.119005986001096
105,35,105,105,698.4375,27.7676333357325,0.194373433350127
106.001,44,106,106,698.4375,17.7720512279377,0.124404358595564
107,37,107,107,698.4375,25.0232240542447,0.175162568379713
108,56,108,108,698.4375,24.4167639730204,0.170917347811143
109.001,39,109,109,698.4375,22.0244493412137,0.154171145388496
110.001,51,110,110,699.213541666667,16.6603357390858,0.116622350173601
111,42,111,111,698.4375,29.968250303706,0.209777752125942
112.001,50,112,112,698.4375,13.0116740739792,0.0910817185178542
113.001,43,113,113,698.4375,23.3329159333927,0.163330411533749
