Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %,Raw
0,0,0,0,698.4375,,,0
1,0,1,1,698.4375,7.394826812,0.051763788,0
2.001,0,2,2,698.4375,13.01830895,0.091128163,0
3.001,0,3,3,698.4375,17.75614093,0.124292987,0
4,0,4,4,698.4375,10.99882203,0.076991754,0
5.001,0,5,5,698.4375,13.33155875,0.093320911,0
6.001,0,6,6,698.4375,14.98311403,0.104881798,0
7.001,0,7,7,698.4375,12.02743458,0.084192042,0
8.001,0,8,8,698.4375,11.10305399,0.077721378,0
9,0,9,9,698.4375,8.878114803,0.062146804,0
10.001,0,10,10,698.4375,15.00954757,0.105066833,0
11,0,11,11,698.4375,12.22115219,0.085548065,0
12,0,12,12,698.8255208,11.10398112,0.077727868,0
13.001,0,13,13,698.4375,17.01698806,0.119118916,0
14.001,0,14,14,698.4375,14.43509211,0.101045645,0
15.001,0,15,15,698.4375,14.4365717,0.101056002,0
16,0,16,16,698.4375,13.99780095,0.097984607,0
17,0.416666667,17,17,698.4375,17.01388503,0.119097195,5
18.001,0.75,18,18,698.4375,14.43103641,0.101017255,9
19,0.916666667,19,19,698.4375,12.21557695,0.085509039,11
20.001,1.333333333,20,20,698.4375,9.989771584,0.069928401,16
21,1.25,21,21,698.4375,15.01150932,0.105080565,15
22.001,1.416666667,22,22,698.4375,16.02671814,0.112187027,17
23,0.75,23,23,698.4375,12.20053915,0.085403774,9
24.001,1.75,24,24,698.8255208,13.32637696,0.093284639,21
25,0.916666667,25,25,698.4375,12.0058961,0.084041273,11
26,1.333333333,26,26,698.8255208,13.99016631,0.097931164,16
27,1.916666667,27,27,698.4375,12.00965697,0.084067599,23
28,1,28,28,698.4375,8.00376337,0.056026344,12
29.001,1.5,29,29,698.4375,16.62909968,0.116403698,18
29.999,1.75,30,30,698.4375,8.011825454,0.056082778,21
31.001,1.333333333,31,31,698.4375,13.99339232,0.097953746,16
32.001,1.583333333,32,32,698.4375,12.99303963,0.090951277,19
33,1.5,33,33,698.4375,12.01492855,0.0841045,18
34,1.75,34,34,698.4375,15.99143978,0.111940078,21
35.001,1.833333333,35,35,698.4375,10.98761805,0.076913326,22
36,2.083333333,36,36,698.4375,13.01703148,0.09111922,25
37.001,1.666666667,37,37,698.4375,6.665274365,0.046656921,20
38.001,1.666666667,38,38,698.4375,7.002852962,0.049019971,20
39,1.166666667,39,39,698.4375,9.998494227,0.06998946,14
40,2,40,40,698.4375,12.0068451,0.084047916,24
41,2,41,41,698.4375,16.63276539,0.116429358,24
42.001,2,42,42,698.4375,15.04824467,0.105337713,24
43.001,2.833333333,43,43,698.4375,13.30053864,0.09310377,34
44,1.916666667,44,44,698.4375,12.02104404,0.084147308,23
45,2,45,45,698.4375,14.41084795,0.100875936,24
46,2.583333333,46,46,698.4375,17.01362281,0.11909536,31
47.001,3.083333333,47,47,698.4375,14.97518313,0.104826282,37
48,2.666666667,48,48,698.4375,8.887411604,0.062211881,32
49,1.916666667,49,49,698.4375,13.31380937,0.093196666,23
50.001,2,50,50,698.4375,13.0192281,0.091134597,24
51.001,2.916666667,51,51,698.4375,11.99460123,0.083962209,35
52.001,1.666666667,52,52,698.4375,13.32282902,0.093259803,20
53,1.666666667,53,53,698.4375,8.993151715,0.062952062,20
54,2.083333333,54,54,698.4375,20.04660836,0.140326259,25
55.001,1.916666667,55,55,698.4375,15.54432564,0.10881028,23
56,2.666666667,56,56,698.4375,12.99821535,0.090987507,32
57,2.25,57,57,698.4375,9.000274508,0.063001922,27
58.001,2.166666667,58,58,698.4375,11.01343198,0.077094024,26
59.001,1.916666667,59,59,698.4375,16.98515158,0.118896061,23
60.001,2,60,60,698.4375,10.01012825,0.070070898,24
61,1.5,61,61,698.4375,10.00780909,0.070054664,18
62,2.75,62,62,698.4375,17.74349931,0.124204495,33
63.001,1.666666667,63,63,698.4375,16.63331318,0.116433192,20
64.001,2,64,64,698.4375,12.02367943,0.084165756,24
65,2.333333333,65,65,698.4375,13.32916871,0.093304181,28
66.001,2.25,66,66,698.4375,8.877189739,0.062140328,27
67.001,1.916666667,67,67,698.4375,14.01457656,0.098102036,23
68.001,1.666666667,68,68,698.4375,14.43307759,0.101031543,20
69.001,2.916666667,69,69,698.4375,11.10836488,0.077758554,35
70.001,2,70,70,698.4375,16.01468547,0.112102798,24
71.001,3.166666667,71,71,698.4375,17.76581546,0.124360708,38
