Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %,Raw
0,0,0,0,698.4375,,,0
1.001,0,1,1,698.8255208,7.413544567,0.051894812,0
2,0,2,2,698.8255208,13.33105076,0.093317355,0
3.001,0,3,3,698.8255208,13.32244889,0.093257142,0
4.001,0,4,4,698.8255208,12.00183148,0.08401282,0
5,0,5,5,698.8255208,9.990662061,0.069934634,0
6,0,6,6,698.4375,7.006055334,0.049042387,0
7.001,0,7,7,699.2135417,10.0042488,0.070029742,0
8,0,8,8,698.4375,16.66343211,0.116644025,0
9.001,0,9,9,699.2135417,6.660402188,0.046622815,0
10,0,10,10,699.9895833,11.99881452,0.083991702,0
11.001,0,11,11,698.4375,10.01150322,0.070080523,0
12.001,0,12,12,698.4375,10.98204874,0.076874341,0
13.001,0,13,13,698.4375,15.03003904,0.105210273,0
14.001,0,14,14,698.4375,11.98982903,0.083928803,0
15.001,0,15,15,699.2135417,11.99941563,0.083995909,0
16,0,16,16,698.4375,12.99630905,0.090974163,0
17.001,0.333333333,17,17,698.4375,8.997906187,0.062985343,2
18.001,0.5,18,18,698.4375,15.00743318,0.105052032,3
19.001,0.666666667,19,19,698.4375,16.03345541,0.112234188,4
20,1,20,20,698.4375,19.98105574,0.13986739,6
21,0.333333333,21,21,698.4375,6.661600889,0.046631206,2
22.001,1,22,22,698.4375,11.1100248,0.077770174,6
23,0.833333333,23,23,698.4375,5.545341652,0.038817392,5
24.001,0.666666667,24,24,698.4375,9.02089962,0.063146297,4
25,1.666666667,25,25,698.4375,4.438094517,0.031066662,10
26,1,26,26,698.4375,8.996566011,0.062975962,6
27,2.166666667,27,27,698.4375,7.775180004,0.05442626,13
28.001,1.5,28,28,698.4375,10.01741227,0.070121886,9
29,0.833333333,29,29,698.4375,12.00740136,0.08405181,5
30,2.166666667,30,30,699.2135417,8.879452005,0.062156164,13
31.001,1.166666667,31,31,698.4375,16.98991648,0.118929415,7
32.001,2,32,32,698.4375,10.00558712,0.07003911,12
33.001,3.166666667,33,33,698.4375,14.44398063,0.101107864,19
34,2.5,34,34,698.8255208,7.992357708,0.055946504,15
35.001,3.166666667,35,35,699.2135417,6.002979879,0.042020859,19
36.001,4,36,36,699.2135417,14.98056122,0.104863929,24
37,2.333333333,37,37,698.4375,10.0210462,0.070147323,14
38.001,2.166666667,38,38,699.9895833,13.99444421,0.097961109,13
39,2,39,39,698.4375,15.55173501,0.108862145,12
40.001,1.666666667,40,40,698.4375,9.995271126,0.069966898,10
41.001,2,41,41,698.8255208,9.996008594,0.06997206,12
42.001,1.833333333,42,42,698.8255208,9.018587308,0.063130111,11
43.001,2.166666667,43,43,698.4375,14.43826968,0.101067888,13
44,1.333333333,44,44,698.4375,14.42945385,0.101006177,8
45,2.5,45,45,698.8255208,6.99793351,0.048985535,15
46,1.666666667,46,46,698.8255208,9.990539958,0.06993378,10
47.001,2.833333333,47,47,698.4375,15.01097903,0.105076853,17
48,3.166666667,48,48,698.4375,13.32459388,0.093272157,19
49.001,2,49,49,698.4375,14.42836483,0.100998554,12
50,4,50,50,698.4375,16.03219586,0.112225371,24
51,2.666666667,51,51,698.4375,12.21131074,0.085479175,16
52.001,2.833333333,52,52,698.4375,8.997844117,0.062984909,17
53,4,53,53,698.4375,12.00162862,0.0840114,24
54.001,3,54,54,699.2135417,14.43287249,0.101030107,18
55,4.666666667,55,55,698.4375,13.00882909,0.091061804,28
56,5,56,56,698.4375,8.008184364,0.056057291,30
57.001,7.333333333,57,57,698.4375,12.99483585,0.090963851,44
57.999,6,58,58,698.4375,14.42975175,0.101008262,36
59,8.166666667,59,59,698.4375,8.013485895,0.056094401,49
60.001,8.666666667,60,60,698.4375,9.971687057,0.069801809,52
61,8.333333333,61,61,698.4375,14.02269292,0.09815885,50
62,6.166666667,62,62,699.2135417,9.011023185,0.063077162,37
63.001,9.5,63,63,698.4375,10.98164089,0.076871486,57
64.001,5.333333333,64,64,698.4375,11.10560027,0.077739202,32
65.001,7.333333333,65,65,699.2135417,9.004377929,0.063030645,44
66.001,7.166666667,66,66,698.8255208,11.01016458,0.077071152,43
67.001,5.666666667,67,67,698.4375,12.22128797,0.085549016,34
68.001,5.166666667,68,68,698.4375,14.41572991,0.100910109,31
69.001,3.666666667,69,69,698.8255208,10.0034662,0.070024263,22
70,5.166666667,70,70,698.4375,14.01430019,0.098100101,31
71.001,5.5,71,71,698.4375,10.99754975,0.076982848,33
72,5.333333333,72,72,698.4375,14.43851503,0.101069605,32
73.001,3,73,73,698.8255208,8.014272618,0.056099908,18
74,4.5,74,74,698.4375,8.883500552,0.062184504,27
75,3,75,75,698.4375,11.99865495,0.083990585,18
76.001,4.5,76,76,698.8255208,12.00716468,0.084050153,27
77,4.666666667,77,77,698.4375,17.73469036,0.124142833,28
78,5.833333333,78,78,698.4375,6.013864966,0.042097055,35
79,4,79,79,698.4375,11.10687692,0.077748138,24
80,4.5,80,80,698.4375,9.992967172,0.06995077,27
81.001,4,81,81,698.4375,13.32884003,0.09330188,24
82,4.333333333,82,82,698.4375,12.00192151,0.084013451,26
83.001,4.666666667,83,83,698.4375,12.21233295,0.085486331,28
84,4.333333333,84,84,698.4375,17.01089718,0.11907628,26
85.001,5.166666667,85,85,698.4375,9.006048462,0.063042339,31
86.001,3.833333333,86,86,698.8255208,8.981040126,0.062867281,23
87.001,3.5,87,87,698.4375,11.00952324,0.077066663,21
88.001,4.166666667,88,88,698.4375,11.00699715,0.07704898,25
89.001,4.666666667,89,89,698.4375,7.995433009,0.055968031,28
90.001,3.333333333,90,90,698.8255208,11.00443259,0.077031028,20
91.001,4,91,91,698.4375,9.998093364,0.069986654,24
92,4.666666667,92,92,698.4375,14.44127378,0.101088916,28
93,4,93,93,698.4375,8.88063779,0.062164465,24
94,3.166666667,94,94,698.4375,12.01847841,0.084129349,19
95,3.833333333,95,95,698.4375,6.657668458,0.046603679,23
96.001,2.166666667,96,96,698.4375,6.660646183,0.046624523,13
97.001,4.5,97,97,698.4375,11.0029719,0.077020803,27
98.001,2.166666667,98,98,698.4375,17.01430563,0.119100139,13
99,3.166666667,99,99,698.8255208,13.33312297,0.093331861,19
100.001,3.5,100,100,698.4375,9.991024729,0.069937173,21
101,3.666666667,101,101,698.4375,4.002123927,0.028014867,22
102.001,3.666666667,102,102,698.4375,10.99768609,0.076983803,22
103,4.333333333,103,103,698.8255208,4.440907508,0.031086353,26
104.001,5.166666667,104,104,698.4375,14.0239206,0.098167444,31
105.001,3.166666667,105,105,698.4375,11.09710041,0.077679703,19
106.001,4,106,106,698.4375,11.00275289,0.07701927,24
107,3.5,107,107,698.4375,4.001070286,0.028007492,21
108,3.5,108,108,698.4375,11.09284489,0.077649914,21
109.001,3.5,109,109,698.4375,11.01630413,0.077114129,21
110,3.666666667,110,110,698.4375,8.992918077,0.062950427,22
111.001,2.666666667,111,111,698.4375,12.9919385,0.09094357,16
112,3.333333333,112,112,698.4375,6.005613447,0.042039294,20
113.001,5.5,113,113,698.4375,11.99456167,0.083961932,33
113.999,3.5,114,114,698.4375,17.02504043,0.119175283,21
115,3.166666667,115,115,698.4375,9.971936754,0.069803557,19
116,5.333333333,116,116,698.4375,13.04148627,0.091290404,32
117,5,117,117,698.4375,7.768878959,0.054382153,30
118,4.833333333,118,118,698.4375,17.75575275,0.124290269,29
119.001,2.833333333,119,119,698.4375,12.20733876,0.085451371,17
120.001,4.166666667,120,120,698.4375,9.016333087,0.063114332,25
121.001,2.666666667,121,121,698.4375,7.765545318,0.054358817,16
122.001,3.5,122,122,698.4375,13.3261683,0.093283178,21
123,4.333333333,123,123,698.4375,11.00329989,0.077023099,26
124.001,3.5,124,124,698.4375,13.3161023,0.093212716,21
125,3.5,125,125,698.4375,7.014288808,0.049100022,21
126,3.5,126,126,698.4375,12.19780763,0.085384653,21
127.001,2.833333333,127,127,698.4375,10.00816767,0.070057174,17
128,3,128,128,698.4375,12.01490569,0.08410434,18
129.001,3.166666667,129,129,698.4375,4.990120061,0.03493084,19
130,4.333333333,130,130,698.4375,6.004976324,0.042034834,26
131,3.5,131,131,698.4375,11.11107531,0.077777527,21
132.001,3.5,132,132,698.4375,12.21006371,0.085470446,21
133,3.166666667,133,133,698.4375,9.014332789,0.06310033,19
134.001,4.166666667,134,134,698.4375,12.21982442,0.085538771,25
135,2.833333333,135,135,698.4375,3.330549364,0.023313846,17
136,2.5,136,136,698.4375,5.00022751,0.035001593,15
137.001,3.166666667,137,137,698.4375,13.33088934,0.093316225,19
138.001,3.166666667,138,138,698.4375,15.54819608,0.108837373,19
139.001,1.666666667,139,139,698.4375,11.0096169,0.077067318,10
140.001,3.5,140,140,698.4375,5.552452352,0.038867166,21
141,3.833333333,141,141,698.4375,11.10245983,0.077717219,23
142.001,3.333333333,142,142,698.4375,17.00306905,0.119021483,20
143,2.5,143,143,698.4375,17.01687223,0.119118106,15
144,3.666666667,144,144,698.4375,19.95588154,0.139691171,22
145.001,3,145,145,698.4375,9.016784745,0.063117493,18
146.001,3.166666667,146,146,698.4375,6.997778905,0.048984452,19
147,3.5,147,147,698.4375,5.001403894,0.035009827,21
148,3,148,148,698.8255208,12.00030961,0.084002167,18
149.001,1.5,149,149,698.4375,6.006754596,0.042047282,9
150,2.666666667,150,150,698.8255208,12.20033076,0.085402315,16
151,2.833333333,151,151,698.4375,7.773915869,0.054417411,17
152,3,152,152,698.4375,15.54537851,0.10881765,18
153.001,2.166666667,153,153,698.4375,14.0236832,0.098165782,13
154,3.666666667,154,154,699.2135417,9.988148507,0.06991704,22
155,2.666666667,155,155,698.8255208,13.00865726,0.091060601,16
156.001,3.5,156,156,699.6015625,11.10719891,0.077750392,21
157,3,157,157,698.4375,15.02163867,0.105151471,18
158.001,3.5,158,158,698.4375,13.33288742,0.093330212,21
159,1.833333333,159,159,698.4375,12.20946333,0.085466243,11
160.001,2.666666667,160,160,698.4375,9.997546602,0.069982826,16
161.001,3,161,161,698.4375,8.886880454,0.062208163,18
