Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,700.765625,0
1,0,1,1,7.409298543,698.8255208,0
2.001,0,2,2,11.02122799,699.6015625,0
3.001,0,3,3,6.655787412,699.6015625,0
4.001,0,4,4,7.995956445,699.6015625,0
5,0,5,5,10.02350612,699.2135417,0
6.001,0,6,6,11.09177076,699.2135417,0
7.001,0,7,7,9.988872396,698.8255208,0
8.001,0,8,8,10.02272151,698.4375,0
9.001,0,9,9,4.435908278,699.2135417,0
10.001,0,10,10,7.777733704,699.2135417,0
11,0,11,11,5.998080614,698.8255208,0
12.001,0,12,12,10.00297188,699.6015625,0
13,0,13,13,6.998364482,699.9895833,0
14.001,0.083333333,14,14,6.001044182,699.6015625,1
15.001,0,15,15,10.00285782,699.6015625,0
16,0.083333333,16,16,9.017263551,699.6015625,1
17,0.166666667,17,17,6.656634379,699.6015625,2
18,0.083333333,18,18,8.993326951,699.6015625,1
19,0.333333333,19,19,5.003060372,699.6015625,4
19.999,0.75,20,20,9.998418028,699.6015625,9
21,1.25,21,21,5.550747375,699.6015625,15
22,0.666666667,22,22,12.21690515,700.765625,8
23.001,0.666666667,23,23,10.0045871,699.9895833,8
24,0.5,24,24,1.110366795,699.9895833,6
25.001,0.75,25,25,10.01412091,699.6015625,9
26.001,1.75,26,26,8.876958257,699.6015625,21
27,1,27,27,7.999414443,699.6015625,12
28,1,28,28,13.01904947,699.9895833,12
29,1.083333333,29,29,11.09756099,699.2135417,13
30,0.75,30,30,7.003263521,699.6015625,9
31.001,1.083333333,31,31,11.09740089,699.2135417,13
32,1.166666667,32,32,9.003082656,699.6015625,14
33,0.833333333,33,33,15.55425418,699.6015625,10
34,1.25,34,34,11.01079388,699.2135417,15
35.001,0.916666667,35,35,8.991123962,699.6015625,11
36,1.666666667,36,36,7.007916142,699.6015625,20
37,1,37,37,10.00615779,699.2135417,12
38,0.916666667,38,38,5.546991001,699.2135417,11
39,1.583333333,39,39,4.997378375,699.2135417,19
40.001,0.5,40,40,8.010450434,699.6015625,6
41.001,1.083333333,41,41,6.664482198,699.6015625,13
42,1,42,42,6.998886477,699.2135417,12
43,1.333333333,43,43,14.44422939,699.6015625,16
44.001,1.666666667,44,44,7.990215182,699.6015625,20
45.001,1.416666667,45,45,6.00908333,699.9895833,17
46,1.083333333,46,46,6.665982292,699.6015625,13
47.001,0.75,47,47,7.776832461,699.6015625,9
48,2,48,48,9.995041349,699.6015625,24
49,1.666666667,49,49,8.006272114,699.6015625,20
50,1.916666667,50,50,2.997344053,699.6015625,23
51.001,1.333333333,51,51,7.008601657,699.9895833,16
52.001,1.333333333,52,52,8.995535516,700.3776042,16
53,1.5,53,53,13.00885903,699.9895833,18
54,1.083333333,54,54,6.663031613,699.6015625,13
55,1.166666667,55,55,12.00933846,699.9895833,14
56.001,1.5,56,56,7.771289614,700.3776042,18
57,1.666666667,57,57,5.553009192,699.6015625,20
58,0.916666667,58,58,4.000245215,699.6015625,11
59.001,1.416666667,59,59,14.02286428,699.6015625,17
60.001,1.583333333,60,60,3.330566373,699.6015625,19
61.001,1,61,61,10.00667645,699.6015625,12
62,0.916666667,62,62,4.994942621,699.9895833,11
62.999,1,63,63,8.00141465,699.6015625,12
64,1.75,64,64,8.883396975,699.9895833,21
65,1.583333333,65,65,12.00692199,699.6015625,19
66.001,2.083333333,66,66,11.10758754,699.6015625,25
66.999,1.833333333,67,67,7.011288174,699.6015625,22
68,1.916666667,68,68,6.657084902,699.9895833,23
69,2.416666667,69,69,9.999235059,699.6015625,29
70.001,2,70,70,6.661768786,699.6015625,24
71,2,71,71,11.0246467,699.6015625,24
72,2.416666667,72,72,7.766454287,699.6015625,29
73.001,2.333333333,73,73,15.00305912,699.6015625,28
74.001,1.916666667,74,74,2.99954287,699.6015625,23
75,3.166666667,75,75,9.004904071,699.9895833,38
76,3.083333333,76,76,5.551568912,699.6015625,37
77,3.166666667,77,77,11.00778691,699.6015625,38
78.001,2.583333333,78,78,8.880361768,699.6015625,31
79,3.583333333,79,79,9.013266627,698.8255208,43
80,3.166666667,80,80,6.662407907,699.6015625,38
81.001,4.583333333,81,81,12.20964764,699.2135417,55
82.001,4.166666667,82,82,5.003250612,699.6015625,50
83,3.416666667,83,83,12.02037453,699.6015625,41
84.001,2.666666667,84,84,6.660832517,699.2135417,32
85,3.25,85,85,12.21962216,699.6015625,39
86,2.916666667,86,86,6.992263759,699.6015625,35
87.001,2.583333333,87,87,7.00851675,698.4375,31
88,2.583333333,88,88,5.99464139,699.6015625,31
89,3.5,89,89,5.550979082,699.2135417,42
90.001,3.5,90,90,12.00474187,698.8255208,42
91,3.333333333,91,91,7.005690021,699.6015625,40
92,2.333333333,92,92,5.553820912,698.8255208,28
93.001,2.916666667,93,93,6.647957836,699.6015625,35
94,2.5,94,94,7.024964617,698.8255208,30
95,3.166666667,95,95,4.438306759,699.6015625,38
96.001,2.583333333,96,96,16.65591065,699.6015625,31
97,2.75,97,97,17.74330254,699.2135417,33
98,2.333333333,98,98,19.03824784,698.8255208,28
99.001,2.5,99,99,7.775345822,699.9895833,30
100,2.5,100,100,7.777617905,698.8255208,30
101.001,1.833333333,101,101,4.444002513,698.8255208,22
102,2.333333333,102,102,11.99865615,699.2135417,28
103.001,2.166666667,103,103,14.00456269,699.6015625,26
104,2.083333333,104,104,5.987395933,699.2135417,25
105.001,2.333333333,105,105,4.009094229,699.6015625,28
106,1.666666667,106,106,4.440732979,699.6015625,20
107,2.25,107,107,12.21870595,699.6015625,27
108,2.333333333,108,108,6.003063363,699.6015625,28
109.001,2.416666667,109,109,6.996151417,699.6015625,29
110.001,2.166666667,110,110,7.999887202,699.6015625,26
111.001,2.583333333,111,111,6.001938626,699.6015625,31
112.001,1.916666667,112,112,5.0046388,698.8255208,23
113.001,2,113,113,14.98655856,699.6015625,24
114.001,2.083333333,114,114,8.014173868,699.6015625,25
115,1.666666667,115,115,8.989817234,699.6015625,20
116,1.75,116,116,5.996625699,699.9895833,21
117,2.083333333,117,117,11.00609958,699.6015625,25
118.001,1.75,118,118,9.995619919,698.8255208,21
119,2,119,119,8.884406212,699.6015625,24
120,2.5,120,120,14.99603055,699.2135417,30
121.001,2.5,121,121,14.43318976,699.6015625,30
122.001,1.916666667,122,122,3.332487622,699.2135417,23
123.001,1.166666667,123,123,5.003575555,699.6015625,14
124,2.333333333,124,124,5.554266966,698.8255208,28
125,2.583333333,125,125,6.663104127,699.6015625,31
126,1.666666667,126,126,5.555003759,699.2135417,20
127,2.416666667,127,127,3.996320987,699.6015625,29
128.001,2.833333333,128,128,13.02540605,699.6015625,34
129.001,2.166666667,129,129,6.656655057,699.6015625,26
130.001,2.25,130,130,5.551397559,699.2135417,27
131,1.75,131,131,7.011351378,699.6015625,21
132,1.833333333,132,132,7.772505428,699.6015625,22
133.003,2.75,133,133,6.658559501,699.6015625,33
134.001,1.75,134,134,8.015507603,699.6015625,21
135,2.5,135,135,8.875018222,700.3776042,30
136.001,2.416666667,136,136,8.878905053,699.6015625,29
137.001,2.416666667,137,137,7.005724377,699.6015625,29
138,2.583333333,138,138,6.013977084,699.6015625,31
139,2,139,139,13.32007098,700.765625,24
140.001,2.166666667,140,140,5.552590472,699.9895833,26
141,2.333333333,141,141,8.874557465,699.6015625,28
142.001,2.916666667,142,142,10.00897906,699.6015625,35
143.001,2.5,143,143,7.992955009,699.6015625,30
144,2.166666667,144,144,10.02271046,699.9895833,26
145,2.583333333,145,145,5.543367538,699.6015625,31
146,1.583333333,146,146,4.996802546,699.6015625,19
