Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
126,70.33333333,126,126,584.5240654,702.3177083,211
127,72.66666667,127,127,605.8201926,706.1979167,218
128,73.66666667,128,128,595.5100321,709.3020833,221
129.001,59.33333333,129,129,612.0180545,705.0338542,178
130,78,130,130,567.0442294,711.2421875,234
131,64,131,131,616.0300022,701.9296875,192
132,59,132,132,607.4692509,702.3177083,177
133.001,71.33333333,133,133,598.8081829,712.0182292,214
134,77,134,134,527.6689183,706.1979167,231
135,71,135,135,596.6819869,710.078125,213
136.001,68,136,136,546.1854773,705.421875,204
137.001,69.33333333,137,137,592.2197875,704.6458333,208
137.999,66,138,138,590.9010241,703.09375,198
139,72.66666667,139,139,548.3949069,706.1979167,218
140,63,140,140,555.983145,705.0338542,189
141.001,72.33333333,141,141,605.3629167,707.75,217
142.001,62,142,142,554.1449089,704.6458333,186
143.001,69,143,143,529.3656858,704.6458333,207
144,69.33333333,144,144,584.4109138,703.09375,208
145,72.33333333,145,145,527.8419607,709.3020833,217
146,67.33333333,146,146,589.0241637,701.9296875,202
147.001,68.66666667,147,147,588.8534842,703.8697917,206
148.001,68,148,148,625.4511041,708.5260417,204
149.001,66.33333333,149,149,620.9652533,705.0338542,199
150.001,73,150,150,511.9491827,708.5260417,219
151.001,61,151,151,579.8944292,702.3177083,183
152.001,64.33333333,152,152,601.4731209,708.5260417,193
153.001,73,153,153,611.4107457,708.9140625,219
154,72.66666667,154,154,521.9412439,707.3619792,218
155,74.33333333,155,155,551.8789224,704.2578125,223
156.001,78,156,156,571.009852,710.078125,234
157,69.66666667,157,157,574.091187,710.4661458,209
158,73.66666667,158,158,581.8008691,708.1380208,221
159,70.66666667,159,159,547.7721815,706.5859375,212
160.001,71.66666667,160,160,635.4631891,705.421875,215
161.001,76.33333333,161,161,521.4145557,699.9895833,229
162.001,67.33333333,162,162,583.5400663,706.9739583,202
163,63,163,163,631.8155436,708.9140625,189
164.001,65.66666667,164,164,612.5430194,706.1979167,197
165,67.33333333,165,165,564.6707405,707.75,202
166,67,166,166,557.9019766,708.9140625,201
167,74.33333333,167,167,573.9605115,707.75,223
168.001,80,168,168,582.4712775,701.1536458,240
169,75.66666667,169,169,545.2407093,712.0182292,227
170,73.33333333,170,170,606.5541846,706.1979167,220
171,60.66666667,171,171,599.9007114,703.8697917,182
172,65.66666667,172,172,562.067197,701.9296875,197
173.001,67.33333333,173,173,591.1282409,712.7942708,202
174,67.33333333,174,174,540.2093852,708.5260417,202
175.001,68.66666667,175,175,586.4971374,706.1979167,206
175.999,77.33333333,176,176,592.3328081,700.3776042,232
177.001,76,177,177,507.3813478,704.6458333,228
178.001,83.33333333,178,178,578.90208,710.8541667,250
179,70.66666667,179,179,578.93377,707.75,212
180.001,71,180,180,599.698769,706.9739583,213
181,67,181,181,618.6364565,712.0182292,201
182.001,75.66666667,182,182,589.1392775,708.1380208,227
183.001,83.66666667,183,183,575.590632,707.75,251
184,74.33333333,184,184,611.7785468,706.1979167,223
185.001,80.33333333,185,185,569.0469896,704.6458333,241
186,76,186,186,596.6137843,703.09375,228
187,83,187,187,560.5797516,706.1979167,249
188,78.66666667,188,188,627.6086024,701.1536458,236
189,75.66666667,189,189,580.554197,703.8697917,227
190.001,79,190,190,554.7999181,705.0338542,237
191,83.33333333,191,191,583.0259491,708.5260417,250
192.001,81.33333333,192,192,588.2734242,703.8697917,244
193,85.66666667,193,193,559.923594,708.1380208,257
194.001,87,194,194,575.8211054,710.4661458,261
195.001,81,195,195,498.3273294,700.3776042,243
196.001,72.66666667,196,196,562.1581351,710.8541667,218
197,83.66666667,197,197,574.6626435,705.421875,251
198,78,198,198,560.5436541,703.09375,234
199.001,84,199,199,555.9144236,703.8697917,252
200.001,78,200,200,556.3959491,703.4817708,234
201.001,79,201,201,537.3465273,703.8697917,237
202,76.33333333,202,202,595.1475635,708.9140625,229
203,83.33333333,203,203,542.2433582,704.2578125,250
204,80,204,204,580.6961554,710.4661458,240
205.001,70.33333333,205,205,619.4068147,706.1979167,211
206,82,206,206,560.8532247,709.6901042,246
207.001,84.66666667,207,207,531.3874878,700.765625,254
208.001,80,208,208,602.6220957,701.9296875,240
