Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,697.2734375,
1,0,1,1,5.29817941839553,698.4375,0.0370872559287687
1.999,0,2,2,18.8799356038714,698.4375,0.1321595492271
3.001,14,3,3,33.2915376573344,698.825520833333,0.233040763601341
4,15,4,4,21.0608511171327,698.4375,0.147425957819929
5.001,10,5,5,23.2501031308146,698.4375,0.162750721915702
6.001,10,6,6,31.0509266247573,698.4375,0.217356486373301
7,10,7,7,25.5496989967744,698.4375,0.178847892977421
8.001,20,8,8,18.878402984831,698.4375,0.132148820893817
9,18,9,9,24.4291355195189,698.4375,0.171003948636632
10.001,28,10,10,23.3248197741158,698.4375,0.16327373841881
11.001,49,11,11,25.9998596007582,698.4375,0.181999017205307
11.999,56,12,12,24.0331657687609,698.4375,0.168232160381326
13.001,56,13,13,44.392480579677,698.4375,0.310747364057739
14,55,14,14,18.0326607551597,698.4375,0.126228625286118
15,59,15,15,13.3285868754516,698.4375,0.093300108128161
16.001,63,16,16,17.7698583442424,698.4375,0.124389008409697
17,153,17,17,22.2089412753396,698.4375,0.155462588927377
18,353,18,18,36.6169449240093,698.4375,0.256318614468065
19.001,425,19,19,17.0329485356474,698.4375,0.119230639749531
20,318,20,20,22.1877006253493,698.4375,0.155313904377445
21.001,178,21,21,23.3206417218718,698.4375,0.163244492053103
22,82,22,22,13.0054362723618,698.4375,0.0910380539065329
23,31,23,23,19.9961540730333,698.4375,0.139973078511233
24.001,30,24,24,23.9779235258098,698.4375,0.167845464680668
25.001,33,25,25,24.027112193399,698.4375,0.168189785353793
26.001,18,26,26,25.0206795916825,698.4375,0.175144757141778
27,23,27,27,16.6640411544048,698.4375,0.116648288080833
28.001,23,28,28,28.846516561229,698.4375,0.201925615928603
29,31,29,29,19.0562406831281,698.4375,0.133393684781897
30,17,30,30,26.6564069118286,698.4375,0.1865948483828
31,13,31,31,23.3139413150351,698.4375,0.163197589205245
32.001,15,32,32,23.3304844219578,698.4375,0.163313390953705
33,22,33,33,21.988064878384,698.4375,0.153916454148688
34,14,34,34,22.0152125118457,698.4375,0.15410648758292
35,11,35,35,26.0071545682217,698.4375,0.182050081977552
36,16,36,36,26.660884217112,698.4375,0.186626189519784
37.001,12,37,37,25.0044057762978,698.4375,0.175030840434085
38,12,38,38,23.9996184060673,698.4375,0.167997328842471
39,9,39,39,17.7516355358453,698.4375,0.124261448750917
40,10,40,40,36.0572336469678,698.4375,0.252400635528775
41,15,41,41,29.9648545550352,698.4375,0.209753981885247
42,6,42,42,15.0332068506123,698.4375,0.105232447954286
43.001,10,43,43,21.061058335917,698.4375,0.147427408351419
44.001,9,44,44,20.9861113914811,698.4375,0.146902779740368
45,12,45,45,20.0046070610062,698.4375,0.140032249427043
46.001,12,46,46,24.4283027648286,698.4375,0.1709981193538
47.001,8,47,47,21.0531592270483,698.4375,0.147372114589338
48,7,48,48,23.323143710992,698.4375,0.163262005976944
49,7,49,49,21.9991970293084,698.4375,0.153994379205159
50.001,6,50,50,29.9623872165808,698.4375,0.209736710516066
51.001,5,51,51,21.9925906961945,698.4375,0.153948134873361
52,6,52,52,23.0080436120468,698.4375,0.161056305284327
53.001,10,53,53,27.7574593175573,698.4375,0.194302215222901
54.001,7,54,54,18.0129639301405,698.4375,0.126090747510984
55.001,3,55,55,33.0231657507742,698.049479166667,0.231162160255419
56.001,9,56,56,22.2049689613393,698.4375,0.155434782729375
57,3,57,57,25.9914436167614,698.4375,0.18194010531733
58.001,5,58,58,29.9865793398244,698.4375,0.20990605537877
59,4,59,59,16.6608224204021,698.4375,0.116625756942815
60.001,5,60,60,31.9977217622105,698.4375,0.223984052335474
61.001,9,61,61,30.0133979808587,698.4375,0.210093785866011
62.001,4,62,62,23.0070079346169,698.4375,0.161049055542318
62.999,7,63,63,19.0057606460518,698.4375,0.133040324522363
64,5,64,64,24.991777705135,698.4375,0.174942443935945
65.001,6,65,65,20.0015641223144,698.4375,0.140010948856201
66.001,10,66,66,25.54249198993,698.4375,0.17879744392951
67,5,67,67,27.7751761696099,698.4375,0.194426233187269
68,5,68,68,24.0606062611111,698.4375,0.168424243827778
69,8,69,69,24.3898301946763,698.4375,0.170728811362734
70.001,5,70,70,26.6650934261545,698.4375,0.186655653983082
71,11,71,71,21.0974985362222,698.4375,0.147682489753556
72.001,5,72,72,22.0055211852654,698.4375,0.154038648296858
73,2,73,73,26.0453658181821,698.4375,0.182317560727275
74.001,8,74,74,22.2133664934468,698.4375,0.155493565454128
75.001,4,75,75,21.1095677671566,698.4375,0.147766974370096
76,8,76,76,15.992611413527,698.4375,0.111948279894689
77,3,77,77,27.0497526099755,698.4375,0.189348268269829
78,4,78,78,25.5550700092254,698.4375,0.178885490064578
79.001,6,79,79,24.4184117044107,698.4375,0.170928881930875
80.001,6,80,80,25.529070563128,698.4375,0.178703493941896
81,1,81,81,27.0199542362034,698.4375,0.189139679653424
82.001,10,82,82,18.8859321912825,698.4375,0.132201525338977
82.999,5,83,83,19.0089037705261,698.4375,0.133062326393683
84,2,84,84,21.1038138812446,698.4375,0.147726697168712
85,6,85,85,23.3168560883642,698.4375,0.16321799261855
86.001,3,86,86,26.656344737621,698.4375,0.186594413163347
86.999,4,87,87,26.0313704044744,698.4375,0.182219592831321
88,3,88,88,29.984847656984,698.4375,0.209893933598888
89,2,89,89,32.194645719572,698.4375,0.225362520037004
90,4,90,90,29.9593651144498,698.4375,0.209715555801148
91,4,91,91,27.0248412340624,698.4375,0.189173888638436
92,4,92,92,29.9885910071546,698.4375,0.209920137050082
92.999,5,93,93,21.9877528216783,698.4375,0.153914269751748
94,0,94,94,16.0207436588895,698.4375,0.112145205612227
95.001,7,95,95,19.9874012747298,698.4375,0.139911808923109
96.001,1,96,96,26.6518837551438,698.4375,0.186563186286007
97,1,97,97,27.7519191562173,699.213541666667,0.194263434093521
98,5,98,98,29.0333273564725,698.4375,0.203233291495307
99,4,99,99,31.0907121494175,698.4375,0.217634985045923
100.001,3,100,100,28.8721494582363,698.4375,0.202105046207654
101,2,101,101,16.0119897779457,698.4375,0.11208392844562
102,2,102,102,25.0190344814335,698.4375,0.175133241370034
103.001,2,103,103,24.9944912141364,698.4375,0.174961438498955
104.001,5,104,104,22.2068895986704,698.4375,0.155448227190693
105,4,105,105,24.4286987909238,698.4375,0.171000891536466
106,4,106,106,25.5522905406531,698.4375,0.178866033784572
107.001,2,107,107,19.9671894705467,698.4375,0.139770326293827
108.001,4,108,108,22.0012144670386,697.661458333333,0.15400850126927
109.001,3,109,109,27.0311858791488,698.4375,0.189218301154041
110,1,110,110,29.9835959746423,698.4375,0.209885171822496
111,2,111,111,27.9514092701248,698.4375,0.195659864890874
112,4,112,112,26.0735482649458,698.4375,0.18251483785462
113,2,113,113,29.9881486836402,698.4375,0.209917040785482
114.001,2,114,114,19.9886198124534,698.4375,0.139920338687174
115,4,115,115,25.5320773919449,698.4375,0.178724541743614
115.999,3,116,116,18.8700188700189,698.4375,0.132090132090132
117,4,117,117,23.0633388474768,698.4375,0.161443371932338
118,2,118,118,24.407645850384,698.4375,0.170853520952688
119,1,119,119,19.9934332679178,698.4375,0.139954032875424
120,4,120,120,28.9720622403816,698.4375,0.202804435682671
,2,121,121,,,
,5,122,122,,,
,3,123,123,,,
,2,124,124,,,
,3,125,125,,,
,0,126,126,,,
,3,127,127,,,
,0,128,128,,,
,2,129,129,,,
,3,130,130,,,
,4,131,131,,,
,3,132,132,,,
,3,133,133,,,
,5,134,134,,,
,0,135,135,,,
,1,136,136,,,
,0,137,137,,,
,0,138,138,,,
,1,139,139,,,
,2,140,140,,,
,2,141,141,,,
,1,142,142,,,
,0,143,143,,,
,1,144,144,,,
,1,145,145,,,
,1,146,146,,,
,2,147,147,,,
,5,148,148,,,
,3,149,149,,,
,3,150,150,,,
,2,151,151,,,
,2,152,152,,,
,0,153,153,,,
,1,154,154,,,
,4,155,155,,,
,0,156,156,,,
,1,157,157,,,
,1,158,158,,,
,1,159,159,,,
,2,160,160,,,
,2,161,161,,,
,2,162,162,,,
,0,163,163,,,
,0,164,164,,,
,0,165,165,,,
,2,166,166,,,
,3,167,167,,,
,1,168,168,,,
,0,169,169,,,
,0,170,170,,,
,1,171,171,,,
,1,172,172,,,
,0,173,173,,,
,2,174,174,,,
,0,175,175,,,
,0,176,176,,,
,2,177,177,,,
,0,178,178,,,
,5,179,179,,,
,2,180,180,,,
,1,181,181,,,
,2,182,182,,,
,3,183,183,,,
,2,184,184,,,
,1,185,185,,,
,1,186,186,,,
,1,187,187,,,
,2,188,188,,,
,3,189,189,,,
,1,190,190,,,
,2,191,191,,,
,2,192,192,,,
,1,193,193,,,
,1,194,194,,,
,3,195,195,,,
,1,196,196,,,
,0,197,197,,,
,1,198,198,,,
,1,199,199,,,
,0,200,200,,,
,0,201,201,,,
,0,202,202,,,
,0,203,203,,,
,2,204,204,,,
,1,205,205,,,
,1,206,206,,,
,0,207,207,,,
,0,208,208,,,
,0,209,209,,,
,0,210,210,,,
,0,211,211,,,
,0,212,212,,,
,1,213,213,,,
,0,214,214,,,
,0,215,215,,,
,1,216,216,,,
,0,217,217,,,
,0,218,218,,,
,1,219,219,,,
,0,220,220,,,
,0,221,221,,,
,0,222,222,,,
,0,223,223,,,
,0,224,224,,,
,0,225,225,,,
,1,226,226,,,
,0,227,227,,,
,0,228,228,,,
,0,229,229,,,
,0,230,230,,,
,1,231,231,,,
,1,232,232,,,
,0,233,233,,,
,1,234,234,,,
,0,235,235,,,
,0,236,236,,,
,0,237,237,,,
,0,238,238,,,
,1,239,239,,,
,1,240,240,,,
,1,241,241,,,
,0,242,242,,,
,0,243,243,,,
,0,244,244,,,
,1,245,245,,,
,0,246,246,,,
,0,247,247,,,
,1,248,248,,,
,0,249,249,,,
,1,250,250,,,
,1,251,251,,,
,2,252,252,,,
,0,253,253,,,
,0,254,254,,,
,0,255,255,,,
,0,256,256,,,
,0,257,257,,,
,0,258,258,,,
,0,259,259,,,
,0,260,260,,,
,0,261,261,,,
,0,262,262,,,
,0,263,263,,,
,0,264,264,,,
,0,265,265,,,
,0,266,266,,,
,1,267,267,,,
,0,268,268,,,
,0,269,269,,,
,0,270,270,,,
,0,271,271,,,
,0,272,272,,,
,0,273,273,,,
,1,274,274,,,
,0,275,275,,,
,0,276,276,,,
,1,277,277,,,
,0,278,278,,,
,0,279,279,,,
,0,280,280,,,
,0,281,281,,,
,0,282,282,,,
,0,283,283,,,
,0,284,284,,,
,0,285,285,,,
,0,286,286,,,
,1,287,287,,,
,0,288,288,,,
,0,289,289,,,
,0,290,290,,,
,0,291,291,,,
,0,292,292,,,
,0,293,293,,,
,0,294,294,,,
,0,295,295,,,
,0,296,296,,,
,0,297,297,,,
,0,298,298,,,
,0,299,299,,,
,1,300,300,,,
,0,301,301,,,
,0,302,302,,,
,0,303,303,,,
,0,304,304,,,
,0,305,305,,,
,0,306,306,,,
,0,307,307,,,
,0,308,308,,,
,0,309,309,,,
,0,310,310,,,
,0,311,311,,,
,0,312,312,,,
,0,313,313,,,
,0,314,314,,,
