Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1.001,0,1,1,8.46694794573321,699.6015625
2.001,0,2,2,17.7617054079064,699.6015625
3.001,0,3,3,11.0053342855282,698.825520833333
4.001,0,4,4,9.00393111632539,698.825520833333
5,0,5,5,9.9927208580061,699.6015625
6,0,6,6,20.0089379926013,699.6015625
7,0,7,7,14.9918219611202,699.6015625
8,0,8,8,16.6465964202493,699.6015625
9.001,0,9,9,16.0044652458036,699.6015625
10,0,10,10,19.0111043860719,698.4375
11,0,11,11,14.0061795264071,699.6015625
12,0,12,12,15.0246178363248,699.6015625
13,0,13,13,12.2167165552946,699.6015625
14,0,14,14,12.2128359792813,698.825520833333
15,0,15,15,5.5421103957355,699.6015625
16.001,2,16,16,14.0226030338302,699.213541666667
17.001,2,17,17,17.9928064759709,698.825520833333
18.001,5,18,18,9.99762656345384,698.825520833333
19.001,12,19,19,11.992606558057,699.213541666667
20.001,9,20,20,6.00833777032388,699.6015625
21,16,21,21,8.0017996047311,698.4375
22.001,18,22,22,12.2111751790769,699.6015625
23,16,23,23,12.0045965600228,699.6015625
24,19,24,24,9.9943531904474,698.825520833333
25.001,18,25,25,14.4314288990696,698.4375
26.001,17,26,26,15.9859627261302,698.4375
27.001,21,27,27,10.9922208053361,698.4375
28,28,28,28,8.00749100783783,699.213541666667
29.001,17,29,29,12.2207896740993,698.4375
30,26,30,30,16.0176113636944,698.4375
31.001,18,31,31,14.4126709107178,698.4375
32,16,32,32,10.0115463163667,698.4375
33.001,20,33,33,18.8698617782625,698.4375
34.001,25,34,34,19.0269573932347,698.4375
35,24,35,35,12.2171276799797,698.4375
36.001,20,36,36,13.3177973828087,698.4375
37.001,23,37,37,8.00019600480212,698.825520833333
38.001,23,38,38,13.0273887821756,698.4375
39,25,39,39,11.110156872082,698.4375
40,21,40,40,7.00185339059249,699.213541666667
41,30,41,41,9.99669220562352,698.825520833333
42.001,16,42,42,9.99397463269395,698.825520833333
43,17,43,43,12.2053611938086,698.4375
44,16,44,44,18.0407974593746,698.825520833333
45,29,45,45,18.861506173371,698.825520833333
46,27,46,46,9.01217544903164,699.213541666667
47,24,47,47,5.99757518035458,699.213541666667
48.001,28,48,48,8.88405201612455,699.6015625
49,25,49,49,13.0251685331566,699.6015625
50,24,50,50,9.97331694458792,699.213541666667
51.001,23,51,51,10.0231806097963,699.6015625
52.001,20,52,52,15.5393359420179,698.825520833333
53.001,16,53,53,9.987807107035,699.213541666667
54.001,25,54,54,14.0217575612077,699.6015625
55,22,55,55,13.3076495696639,699.6015625
56,22,56,56,8.88542159992678,699.6015625
57.001,32,57,57,17.0303804957664,699.6015625
58,16,58,58,12.0031520277225,699.6015625
59.001,24,59,59,17.7244567038603,699.213541666667
60.001,23,60,60,10.0057693265937,698.825520833333
61,27,61,61,15.0190727204477,698.825520833333
62,12,62,62,19.0289334933767,698.825520833333
63,19,63,63,11.087081709353,699.6015625
64.001,37,64,64,12.2138245393056,698.4375
65,19,65,65,11.0965093377681,699.6015625
66,20,66,66,15.5416492331917,699.6015625
67,20,67,67,10.0004740224687,699.6015625
68,43,68,68,11.1088387364318,699.213541666667
69.001,26,69,69,16.0070302877024,699.213541666667
69.999,41,70,70,15.9960969523436,699.6015625
71,39,71,71,16.0127669791124,698.825520833333
72,34,72,72,21.0994337467231,698.4375
73,28,73,73,13.0140760246282,698.825520833333
74,41,74,74,12.2110233570235,699.213541666667
75,52,75,75,16.007372996002,698.825520833333
76,44,76,76,8.0024727640841,699.6015625
77,51,77,77,11.0067669603272,699.213541666667
78,50,78,78,8.86307665530974,698.4375
79.001,62,79,79,13.01215335123,698.825520833333
80,79,80,80,11.0022081431743,698.4375
81.001,49,81,81,15.0037359302466,698.825520833333
82,65,82,82,11.0063826012705,698.825520833333
83.001,65,83,83,15.5473379237219,698.4375
84,56,84,84,16.0073505753842,698.4375
85.001,46,85,85,11.991127764567,698.4375
86,59,86,86,17.9851856026191,699.213541666667
87.001,47,87,87,14.0063210526911,698.4375
88,43,88,88,12.0033249210031,698.4375
89.001,51,89,89,10.0059925889615,698.4375
90,46,90,90,14.0006006257668,699.213541666667
91,53,91,91,12.0117017998935,698.825520833333
92.001,48,92,92,12.2046109685945,698.4375
93.001,38,93,93,15.996799040512,699.6015625
94,34,94,94,11.9936517601234,699.6015625
95.001,43,95,95,6.66323214067771,698.4375
96,37,96,96,18.0306141798159,699.6015625
97.001,38,97,97,23.3288852925376,699.213541666667
98,42,98,98,11.0113119207362,699.6015625
99.001,40,99,99,14.4435312922994,699.6015625
100,38,100,100,17.7606643909335,698.825520833333
101.001,40,101,101,9.99595263877656,699.213541666667
102.001,32,102,102,14.0102092394728,699.6015625
103,37,103,103,8.01030365358961,698.4375
104,33,104,104,16.006426580272,699.6015625
105.001,33,105,105,7.76834959082438,699.6015625
106,36,106,106,13.9740473991703,699.6015625
107.001,40,107,107,11.0256865419368,698.4375
108.001,35,108,108,16.6475996159066,698.825520833333
109,42,109,109,12.2086895680965,698.825520833333
110.001,30,110,110,15.551418878134,698.4375
111,37,111,111,11.0231232055483,698.825520833333
112.001,35,112,112,12.9832580886946,698.4375
113.001,38,113,113,13.0190012322985,698.4375
114,28,114,114,4.44087595390016,698.4375
115,27,115,115,12.2096815226672,698.4375
116,27,116,116,13.0165505440167,698.4375
117,44,117,117,9.99150222735564,698.4375
118.001,38,118,118,17.0222173981481,698.4375
119,32,119,119,14.0052757873891,698.4375
120.001,26,120,120,11.097549905127,698.4375
121.001,34,121,121,15.532651797555,698.825520833333
122.001,35,122,122,13.0175450472146,698.4375
123,42,123,123,6.99790692603842,698.825520833333
124.001,30,124,124,6.65915735688722,699.213541666667
124.999,28,125,125,10.995958985073,698.825520833333
126,30,126,126,15.0169857125395,699.213541666667
127,31,127,127,9.98888126527605,699.213541666667
128.001,32,128,128,7.01293535927017,698.4375
129,25,129,129,16.6561196415736,698.825520833333
130.001,36,130,130,13.3308774894581,699.6015625
131,33,131,131,10.9896850815824,699.6015625
132.002,26,132,132,23.3258871917887,699.213541666667
133.001,37,133,133,9.01768367769195,699.6015625
134,30,134,134,15.5425050321636,699.6015625
135,19,135,135,13.3329126058689,699.213541666667
136,35,136,136,14.4221542038915,700.377604166667
137,27,137,137,10.9950302463287,699.213541666667
138.001,34,138,138,10.0071270759035,699.213541666667
139,27,139,139,15.9982050013988,699.213541666667
140,27,140,140,13.0283940820624,699.213541666667
141.001,25,141,141,8.88728720223978,699.6015625
142.001,36,142,142,12.2186720191855,699.6015625
143.001,30,143,143,8.88012223488256,699.6015625
144.001,40,144,144,13.0093680459299,699.213541666667
145.001,41,145,145,12.9967469142474,698.4375
146.001,26,146,146,12.0121538973133,699.6015625
147.001,24,147,147,12.2149665321022,698.4375
148.001,26,148,148,9.99358189962446,698.4375
148.999,21,149,149,11.9969407801011,698.825520833333
150,34,150,150,12.2063092637121,698.4375
151,26,151,151,16.0205623918299,698.4375
152.001,34,152,152,21.0982622693891,698.4375
153,27,153,153,16.0329669867181,698.825520833333
154.001,36,154,154,8.86887676119263,698.4375
155,23,155,155,15.007225979309,698.825520833333
156.001,27,156,156,14.0129647950284,699.213541666667
156.999,22,157,157,15.5451506680417,698.825520833333
158.001,27,158,158,16.6594956793043,698.825520833333
159.001,36,159,159,13.0127967843577,698.825520833333
159.999,27,160,160,17.7408551158694,698.825520833333
161,25,161,161,4.00436716282778,699.6015625
162,23,162,162,16.0122253340425,699.6015625
163,44,163,163,9.99904231394726,699.213541666667
164.001,14,164,164,12.2141988507105,699.6015625
165,27,165,165,19.0163445481391,699.213541666667
166,29,166,166,6.65749190310287,699.213541666667
167.001,27,167,167,11.0022730696162,699.6015625
168,28,168,168,13.0098054903981,698.4375
169,22,169,169,14.4371119956742,698.4375
170,35,170,170,19.9899961174985,698.4375
171.001,30,171,171,7.76714283320738,698.4375
171.999,30,172,172,11.039039563416,698.4375
173,29,173,173,15.4974161379465,698.4375
174.001,32,174,174,13.0254086646822,698.4375
175.001,31,175,175,10.0042478036174,698.4375
176,29,176,176,16.9867893739039,698.4375
177.001,20,177,177,12.0172459496624,698.825520833333
178.001,19,178,178,13.315690044025,698.825520833333
179.001,29,179,179,17.0142937081442,698.825520833333
180.001,37,180,180,11.1086042694143,698.825520833333
181.001,30,181,181,13.998194232944,698.825520833333
182.001,19,182,182,15.009470976186,698.4375
183,27,183,183,8.87928249181968,699.213541666667
184.001,22,184,184,14.9954398867304,699.213541666667
185.001,37,185,185,8.01080256726195,699.213541666667
186,32,186,186,14.978031720875,699.6015625
187.001,24,187,187,13.0096466529932,699.6015625
188.001,27,188,188,10.0029718829464,699.6015625
189,20,189,189,9.98911785500875,699.6015625
190,26,190,190,12.9939110532804,699.213541666667
191,27,191,191,15.0076854357116,699.213541666667
192,33,192,192,11.1062231389052,699.6015625
193.001,23,193,193,19.0271593672809,699.6015625
194.001,28,194,194,17.7653874070273,699.213541666667
195.001,29,195,195,16.6653371431035,698.825520833333
196.001,22,196,196,12.9915931400791,698.825520833333
197.001,24,197,197,16.0210356197688,698.4375
198,24,198,198,23.038933493711,698.4375
199.001,28,199,199,15.539596390063,698.825520833333
200.001,24,200,200,15.9745971955397,698.4375
201,26,201,201,15.9996992056549,698.825520833333
202.001,23,202,202,11.9972574269522,698.4375
203,16,203,203,12.0158597332619,699.6015625
203.999,23,204,204,15.0096932599072,698.825520833333
205.001,12,205,205,12.218381577613,700.377604166667
206.001,28,206,206,8.88776409296646,698.4375
206.999,23,207,207,8.97984473848447,698.825520833333
208,23,208,208,14.4382231745033,699.213541666667
209.001,36,209,209,11.0984859667414,699.6015625
210,29,210,210,12.0089923334593,699.6015625
211,24,211,211,9.01046204748333,699.6015625
212.001,26,212,212,11.0953557060086,698.825520833333
213,27,213,213,5.99535719538789,698.825520833333
214.001,20,214,214,9.99964223502226,698.825520833333
215.001,20,215,215,11.1084981454918,699.213541666667
216,28,216,216,14.4388341552177,698.4375
217,26,217,217,15.0385422800094,698.825520833333
218.001,21,218,218,12.1978414477995,698.4375
219,29,219,219,19.9854965251717,698.4375
220,20,220,220,17.0133333493459,698.825520833333
221,19,221,221,13.3314062045031,698.825520833333
222,26,222,222,13.0062898417675,698.825520833333
223,20,223,223,14.4282335225134,699.6015625
224,19,224,224,10.0199386759713,698.825520833333
225.001,16,225,225,12.2093996394009,699.6015625
226,32,226,226,8.88177655959278,699.213541666667
227,23,227,227,9.99120440971798,699.6015625
228.001,22,228,228,15.0139194046801,699.6015625
229.001,22,229,229,16.6377742473653,698.825520833333
230.001,21,230,230,7.76987753896011,698.4375
231,26,231,231,10.0269997020978,699.6015625
232,25,232,232,8.88792109303654,698.4375
233,26,233,233,11.1058148713969,698.4375
234.001,28,234,234,5.99314025166794,698.4375
235,20,235,235,8.88743233747802,698.825520833333
236.001,22,236,236,13.0243163987164,698.4375
237.001,23,237,237,10.9809579208694,698.825520833333
238.001,20,238,238,12.0134430427649,698.825520833333
239.001,26,239,239,17.7750483203579,699.213541666667
240.001,18,240,240,17.9911915126354,699.6015625
241,20,241,241,12.0152750191318,698.825520833333
242.001,17,242,242,15.53452870792,699.213541666667
243.001,20,243,243,7.00093882589655,699.213541666667
244,19,244,244,19.013838271494,699.6015625
244.999,21,245,245,9.99473610565102,699.6015625
246.001,14,246,246,17.0140944758638,698.825520833333
247,22,247,247,15.5448675954799,699.6015625
248,21,248,248,15.017702868141,698.4375
249.001,19,249,249,14.4366454477592,699.213541666667
250.001,27,250,250,15.5464850452253,699.6015625
250.999,14,251,251,14.4355457324751,699.6015625
252,21,252,252,17.0284784273219,699.213541666667
253,22,253,253,9.97726845669949,698.825520833333
254,19,254,254,13.9870214428032,699.6015625
255,12,255,255,15.0341666471223,698.825520833333
256,15,256,256,18.8639570256866,699.213541666667
257.001,22,257,257,14.4384476758431,698.4375
258,22,258,258,8.01653651151596,698.4375
259.001,16,259,259,13.3081056011488,698.4375
260.001,16,260,260,16.6489632690572,698.4375
261.001,19,261,261,15.0243469542393,699.213541666667
262.001,23,262,262,11.9956299919939,698.4375
263.001,28,263,263,19.9777727300605,698.4375
264.001,18,264,264,9.01674409378215,698.4375
265,23,265,265,15.5388271448659,698.4375
266.001,18,266,266,12.2089470271547,698.825520833333
267,19,267,267,10.0357080528227,698.825520833333
268,20,268,268,17.9966094387817,698.825520833333
269,23,269,269,18.8837210438965,698.825520833333
270,27,270,270,17.7674982929321,698.825520833333
271,17,271,271,5.54876140547907,698.4375
272,18,272,272,11.0031072774952,698.825520833333
273,27,273,273,14.9815606950965,699.213541666667
274,19,274,274,11.0213163279098,699.6015625
275.001,17,275,275,12.0032432763333,699.213541666667
276,24,276,276,13.3121891395833,699.6015625
276.999,31,277,277,17.9790561974356,699.6015625
278,15,278,278,10.0158480764113,698.825520833333
279,21,279,279,6.99583048503092,699.6015625
280,15,280,280,15.0263170917545,699.6015625
281,21,281,281,14.425114790625,699.6015625
282.001,14,282,282,15.0144453979173,699.213541666667
283,25,283,283,14.4152791313663,699.213541666667
284,17,284,284,17.023321951073,699.6015625
285.001,16,285,285,12.2145664034354,698.825520833333
286.001,18,286,286,13.3287704509156,698.825520833333
287.001,22,287,287,9.99856687208167,699.6015625
288,23,288,288,13.0136864940858,699.213541666667
289,17,289,289,11.1024487338878,699.213541666667
290.001,31,290,290,8.00303875381482,699.6015625
291.001,21,291,291,15.0119855692785,699.213541666667
292.001,20,292,292,16.6655945134196,698.4375
293.001,25,293,293,7.9882373205455,698.4375
294.001,30,294,294,13.9975560267177,698.4375
295,20,295,295,15.0229836627056,698.4375
296,16,296,296,13.330695336845,698.4375
297.001,26,297,297,11.0963578868362,698.4375
298.001,20,298,298,9.01604314717609,698.4375
299.001,13,299,299,14.4440945763758,698.4375
300.001,22,300,300,13.3308834132038,698.4375
301.001,21,301,301,13.0062989505818,698.4375
302,20,302,302,11.0900424948248,698.4375
303,17,303,303,9.99727074508659,698.4375
304,32,304,304,15.0069302003665,698.4375
305,26,305,305,13.3278037756335,698.4375
306,29,306,306,16.008896143587,698.825520833333
307,16,307,307,12.9887919714079,698.4375
308,27,308,308,14.4404251927658,698.825520833333
309,30,309,309,8.86980501064155,698.4375
310,29,310,310,13.0057303247811,698.4375
311,18,311,311,19.0564547471885,699.6015625
312.001,19,312,312,13.3202853737938,699.6015625
313,18,313,313,16.6527874934457,699.6015625
314,16,314,314,12.2055250639348,698.4375
315,12,315,315,12.0290863307477,699.213541666667
316.001,24,316,316,14.0020358960193,699.213541666667
317,22,317,317,14.4245978006039,699.213541666667
318,18,318,318,10.0008020643256,699.213541666667
319.001,23,319,319,14.4252748569679,699.6015625
320.001,23,320,320,14.0213362673981,699.6015625
320.999,19,321,321,15.0048180470749,699.6015625
322.001,21,322,322,8.87492862615994,698.825520833333
323.001,22,323,323,13.0296110941726,699.6015625
324,14,324,324,16.6299772413218,699.6015625
325.001,25,325,325,7.99759912074395,699.213541666667
326.001,20,326,326,13.9984405737201,699.213541666667
327,22,327,327,16.6503733513217,699.213541666667
328.001,24,328,328,14.0284609415582,699.213541666667
329,22,329,329,10.9849111260772,698.825520833333
330,18,330,330,17.9940008001332,698.4375
331.001,31,331,331,16.6514953042783,700.765625
332,26,332,332,18.9848311199352,698.4375
333.001,25,333,333,10.0015172301638,698.4375
334.001,19,334,334,16.0099133383391,698.4375
335,22,335,335,9.9972667472713,698.825520833333
336,17,336,336,12.0020991671443,698.4375
337,29,337,337,16.0008064406446,698.825520833333
338,14,338,338,13.9968675010533,698.4375
339,19,339,339,7.76621216204357,698.4375
340.001,24,340,340,13.0287296517551,698.4375
341,26,341,341,16.0076100178025,698.4375
342.001,26,342,342,15.5485690651889,698.4375
343.001,19,343,343,8.86980501064155,698.4375
344.001,19,344,344,6.66363841321,698.4375
345.001,27,345,345,19.0486731696832,699.6015625
346,33,346,346,11.0056381884439,699.213541666667
347,19,347,347,8.99867359551202,699.213541666667
348.001,23,348,348,11.1031094702196,699.213541666667
349.001,15,349,349,16.6157633525382,698.4375
350,23,350,350,17.0208573586072,699.6015625
351,18,351,351,13.0199361261964,699.213541666667
351.999,28,352,352,16.6617958683412,698.825520833333
353.001,27,353,353,23.3021214362318,699.6015625
354,23,354,354,11.0065235665179,699.213541666667
355,30,355,355,11.1036543903183,699.213541666667
355.999,32,356,356,15.0041561512539,699.6015625
357.001,26,357,357,16.9871101807948,699.6015625
358,21,358,358,14.4037666071274,699.213541666667
359.001,29,359,359,12.002075158795,698.825520833333
360.001,21,360,360,16.6608224204021,699.213541666667
361.001,18,361,361,13.025558751382,698.825520833333
362.001,18,362,362,12.2004051865475,699.213541666667
363,21,363,363,9.00193001379496,698.4375
364.001,18,364,364,13.3256681129088,698.4375
365,23,365,365,10.0170450037784,698.4375
366,17,366,366,9.99091625893738,698.825520833333
367.001,25,367,367,15.0078956539035,698.4375
368,23,368,368,13.0094422531874,698.4375
369.001,24,369,369,13.3181565540424,698.4375
370.001,24,370,370,17.7432002234756,698.4375
371,16,371,371,5.01405288602366,698.4375
372,15,372,372,8.87572224802962,699.6015625
373,18,373,373,9.98282754006558,699.6015625
374,25,374,374,9.00710480426961,699.6015625
375,25,375,375,8.88359525318413,699.213541666667
376,24,376,376,7.99712503355044,699.6015625
377.001,27,377,377,12.023144553265,699.6015625
378,23,378,378,9.98496043071125,699.6015625
379,19,379,379,10.9967416654445,699.213541666667
380.001,27,380,380,9.01134708825353,699.6015625
381.001,15,381,381,13.0041938525174,698.825520833333
382,26,382,382,14.4391276367791,699.6015625
383.001,23,383,383,16.999631108005,699.213541666667
384,15,384,384,9.98972944815736,699.6015625
385,23,385,385,11.0098769606214,699.6015625
386.001,22,386,386,16.6490686011552,698.4375
387.001,21,387,387,8.88227258273393,699.213541666667
