Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,699.6015625
1.001,0,1,1,9.4393626877935,699.213541666667
2,0,2,2,9.98199137844314,699.6015625
3.001,0,3,3,13.0220750215766,698.4375
4.001,0,4,4,11.9953122319797,698.4375
5.001,0,5,5,6.99983830373518,698.825520833333
6,0,6,6,5.55441998524746,699.6015625
7.001,0,7,7,8.99439199659013,698.825520833333
8.001,0,8,8,9.99972222993806,699.6015625
9.001,0,9,9,9.00197683411277,699.6015625
10,0,10,10,8.88556173965971,698.825520833333
11.001,0,11,11,12.2146220129697,699.6015625
12,0,12,12,8.00909192114889,699.6015625
13.001,0,13,13,8.87828427156452,699.213541666667
14.001,0,14,14,12.01938004839,699.6015625
15,0,15,15,8.88557950416689,699.213541666667
16,1,16,16,8.99914058207441,699.6015625
16.999,4,17,17,4.44127238900927,699.213541666667
18,5,18,18,8.0017916011395,699.213541666667
19.001,11,19,19,5.55099756977326,698.825520833333
20.001,8,20,20,6.99315440115671,698.4375
21.001,10,21,21,5.99864250720062,699.213541666667
22.001,9,22,22,15.0186952718744,698.4375
23.001,20,23,23,7.77436224129977,699.6015625
24,18,24,24,4.00375191592041,699.6015625
25.001,14,25,25,6.66497968625275,698.4375
26,13,26,26,9.98077702345283,698.825520833333
27,11,27,27,8.01675742805186,698.4375
28,13,28,28,11.0967198983718,699.6015625
29.001,17,29,29,10.0055660964194,698.4375
30,12,30,30,10.0166225851801,699.213541666667
31,15,31,31,12.181036783409,698.4375
32,18,32,32,11.0143219227962,698.4375
33,22,33,33,7.77253563429998,698.4375
34.001,23,34,34,8.88367121266332,698.4375
35,17,35,35,8.01517593411365,698.4375
36.001,13,36,36,3.99107754703585,698.825520833333
37,23,37,37,2.00353844925523,698.4375
38,17,38,38,10.9798651233368,698.4375
39.001,22,39,39,10.0026887227287,699.213541666667
40,15,40,40,21.0999000308947,698.4375
41,21,41,41,10.016894494254,698.4375
41.999,19,42,42,10.9976234135803,698.4375
43.001,11,43,43,16.0274309480676,698.4375
44,14,44,44,5.54944746371383,698.4375
45,30,45,45,6.99996430018207,698.4375
46,24,46,46,7.98643902653295,698.4375
47.001,23,47,47,6.00412964036664,698.4375
48,20,48,48,13.0033691729527,698.4375
49.001,23,49,49,12.988169076788,699.213541666667
50.002,17,50,50,2.21374578959387,698.825520833333
51,17,51,51,7.02292000171761,698.825520833333
52.001,24,52,52,14.433646473144,698.4375
53,18,53,53,6.65681310398097,699.6015625
54,23,54,54,11.0240346002354,698.825520833333
55,14,55,55,6.65569955284792,698.825520833333
56,17,56,56,9.99801483860927,698.4375
57.001,19,57,57,7.00166359527024,698.4375
58,13,58,58,6.99685701183029,698.4375
59,20,59,59,4.4428844983317,698.4375
60.001,20,60,60,14.010252702928,699.213541666667
61,18,61,61,8.00384985177871,699.213541666667
62.001,16,62,62,9.0060818070443,699.213541666667
63.001,23,63,63,11.0780210621983,698.4375
64,16,64,64,7.00720200221788,698.4375
65,24,65,65,3.33091323981387,698.4375
66.001,24,66,66,13.0054323691006,698.825520833333
67.001,17,67,67,9.01310866524273,698.4375
