Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,698.4375,
1,0,1,1,10.5806949929506,749.268229166667,0.0740648649506543
2.001,1,2,2,14.0286211929579,748.880208333333,0.0982003483507051
3.001,6,3,3,11.0790422079379,748.4921875,0.0775532954555652
4.001,17,4,4,8.00746135248825,748.4921875,0.0560522294674177
5.001,18,5,5,6.99291897025072,748.4921875,0.0489504327917551
6.001,8,6,6,9.99707385648221,749.268229166667,0.0699795169953755
7.001,0,7,7,13.3332251860624,748.880208333333,0.0933325763024366
8,1,8,8,8.02071027600367,748.4921875,0.0561449719320257
9.001,0,9,9,12.1841440644333,748.4921875,0.0852890084510331
10.001,3,10,10,18.0039734769464,748.4921875,0.126027814338625
11.001,2,11,11,12.0079072068957,748.4921875,0.0840553504482702
12.001,2,12,12,17.7674726436445,748.880208333333,0.124372308505511
13,3,13,13,18.0174318653297,748.4921875,0.126122023057308
14.001,2,14,14,12.2193085959726,748.4921875,0.0855351601718079
15.001,7,15,15,9.98846886760728,749.268229166667,0.069919282073251
16.001,8,16,16,12.0082821121728,748.4921875,0.0840579747852093
17,8,17,17,14.0095208703835,749.268229166667,0.0980666460926846
18.001,5,18,18,13.9985273549223,748.4921875,0.0979896914844558
19.001,7,19,19,12.1980294637857,748.880208333333,0.0853862062465
19.999,13,20,20,8.00660144288966,748.4921875,0.0560462101002276
21.001,16,21,21,19.9765519672242,748.4921875,0.13983586377057
22,18,22,22,17.0382764881306,748.4921875,0.119267935416914
23,13,23,23,5.99618582619596,748.4921875,0.0419733007833717
24.001,12,24,24,10.9805052110483,749.268229166667,0.0768635364773381
25.001,6,25,25,13.0234526335024,749.268229166667,0.0911641684345169
26.001,9,26,26,15.9902203812148,748.4921875,0.111931542668504
27.001,10,27,27,16.6428027367425,748.4921875,0.116499619157197
28,10,28,28,9.99787545146656,748.880208333333,0.0699851281602659
29,10,29,29,12.0101605958641,748.880208333333,0.0840711241710487
30,5,30,30,13.3312240374412,748.4921875,0.0933185682620883
31,4,31,31,12.997583749181,748.4921875,0.0909830862442672
32.001,11,32,32,19.9672736385065,748.880208333333,0.139770915469545
33.001,9,33,33,9.02068262111369,748.4921875,0.0631447783477958
34.001,11,34,34,12.2212105775689,748.4921875,0.085548474042982
35,4,35,35,8.88372547022947,748.4921875,0.0621860782916063
35.999,7,36,36,13.3215703866819,748.880208333333,0.0932509927067733
