Channel,Energy,Source,Err
35,30.85,133,1
87,81,133,1
289,303,133,1
343,356,133,2
482,511,22,1
785,1274.5,22,1
654,835,54,1
124,122,57,5
36,32,137,1
578,661.7,137,5
27,22,109,1
94,88,109,1
64,59.54,241,1
795,1332,60,10
758,1173,60,10
