Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,697.2734375,0
1,0,1,1,20.11797605,698.4375,0
2,0,2,2,4.439095335,698.4375,0
3,0,3,3,10.99759153,698.4375,0
4.001,0,4,4,10.00584742,698.4375,0
5,0,5,5,12.21914028,698.4375,0
6,0,6,6,15.01183984,698.4375,0
7.001,0,7,7,16.62945918,698.4375,0
8,0,8,8,12.00868829,698.4375,0
9,0,9,9,9.995722941,698.4375,0
10,0,10,10,8.009957178,698.4375,0
11.001,0,11,11,9.993123732,698.4375,0
12.001,0,12,12,9.005211316,698.4375,0
13.001,0,13,13,8.881997446,698.4375,0
14,0,14,14,17.99894166,698.4375,0
15.001,0,15,15,12.01286698,698.4375,0
16,0,16,16,19.97205023,698.4375,0
16.999,0.5,17,17,10.0130099,698.4375,3
18,0.666666667,18,18,16.6454622,698.4375,4
19.001,1,19,19,9.017997217,698.4375,6
20.001,0.833333333,20,20,12.21283462,698.4375,5
21.001,1.333333333,21,21,15.03361064,698.4375,8
22,0.833333333,22,22,3.331745941,698.4375,5
23.001,1.333333333,23,23,2.220889442,698.4375,8
24,1.666666667,24,24,12.21446197,698.4375,10
25,2,25,25,14.4342186,698.4375,12
26.001,0.833333333,26,26,13.00864815,698.4375,5
27,1,27,27,12.99427992,698.4375,6
28.001,1.833333333,28,28,18.02970033,698.4375,11
29,1.666666667,29,29,15.54449306,698.4375,10
30,1.5,30,30,18.88261986,698.4375,9
31,1.666666667,31,31,15.54603447,698.8255208,10
32,1.5,32,32,10.0036003,698.4375,9
33.001,0.833333333,33,33,14.4377774,698.4375,5
34,2.5,34,34,11.99736058,698.4375,15
35,1.5,35,35,5.995621398,698.4375,9
36.001,1.5,36,36,15.03437158,698.8255208,9
37,1.666666667,37,37,11.1037148,698.4375,10
38.001,1.666666667,38,38,11.10912751,698.4375,10
39,1.333333333,39,39,16.00994698,698.4375,8
40,2,40,40,19.001351,698.4375,12
41,1.833333333,41,41,11.10472096,698.4375,11
42,2.5,42,42,14.01728471,698.4375,15
43.001,1.666666667,43,43,14.42350952,698.4375,10
44,1.833333333,44,44,13.00374508,698.4375,11
45,2.333333333,45,45,12.01651791,698.4375,14
46.001,2.666666667,46,46,11.98144912,698.4375,16
47,2.333333333,47,47,12.00479712,698.4375,14
48,2.333333333,48,48,10.99365776,698.4375,14
49.001,2,49,49,20.00796917,698.4375,12
50,1.666666667,50,50,13.00950995,698.4375,10
51,3,51,51,17.98947436,698.4375,18
52.001,1.5,52,52,13.30849082,698.4375,9
53.001,1.333333333,53,53,12.99409029,698.4375,8
54,1.666666667,54,54,6.006236275,698.4375,10
55.001,1.666666667,55,55,15.00831611,698.4375,10
56.001,2,56,56,18.01841843,698.4375,12
57.001,1.666666667,57,57,11.0853549,698.4375,10
58,2.5,58,58,16.04125168,698.4375,15
59.001,0.833333333,59,59,16.61162129,698.4375,5
60,1.333333333,60,60,8.005243434,698.4375,8
61,1,61,61,12.01213706,698.4375,6
62.001,3.5,62,62,14.99918554,698.8255208,21
63.001,1.5,63,63,11.99200373,698.4375,9
64,2.5,64,64,10.01113037,698.4375,15
65.001,1.833333333,65,65,12.20446879,698.4375,11
66.001,2.166666667,66,66,16.03043217,698.4375,13
67,2.666666667,67,67,7.768468563,698.4375,16
68.001,3.333333333,68,68,8.888538285,698.4375,20
69,2.5,69,69,6.661822781,698.8255208,15
70.001,3.5,70,70,14.40756588,698.4375,21
