Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,697.2734375,0
1.001,0,1,1,6.363319451,698.4375,0
2,0,2,2,9.999243057,698.4375,0
3,0,3,3,9.997977076,698.4375,0
4.001,0,4,4,3.332919311,698.4375,0
5,0,5,5,13.01603576,698.4375,0
6,0,6,6,11.98418208,698.4375,0
7,0,7,7,13.33246524,698.4375,0
8.001,0,8,8,6.657358939,698.4375,0
9.001,0,9,9,11.01987655,698.4375,0
10,0,10,10,9.999516023,698.4375,0
11.001,0,11,11,7.007312832,698.4375,0
12,0,12,12,9.974697517,698.4375,0
13.001,0,13,13,12.99693142,698.4375,0
14,0,14,14,9.019529084,698.4375,0
15,0,15,15,11.10280621,698.0494792,0
16,0,16,16,18.97051413,698.4375,0
17,0,17,17,10.02361061,698.4375,0
18,0.333333333,18,18,5.548983709,698.4375,2
19,0.166666667,19,19,11.00243044,698.0494792,1
20,1.166666667,20,20,8.870082343,698.4375,7
21.001,0.833333333,21,21,10.01290463,698.4375,5
22.001,0.333333333,22,22,9.999048091,698.4375,2
23,1.166666667,23,23,3.329792284,698.4375,7
24,0.666666667,24,24,9.998054823,698.4375,4
24.999,1.166666667,25,25,14.42443135,698.4375,7
25.999,0.833333333,26,26,13.01668088,698.4375,5
27.001,0.666666667,27,27,6.006087169,698.4375,4
28,1.333333333,28,28,12.0067526,698.4375,8
29,1.166666667,29,29,12.19216853,698.4375,7
30.001,1.333333333,30,30,12.21548877,698.4375,8
31,2,31,31,12.01963889,698.4375,12
32,2,32,32,9.999112301,698.4375,12
33.001,2.166666667,33,33,18.87837992,698.4375,13
34,1.166666667,34,34,12.99893539,698.4375,7
35,1.333333333,35,35,16.64500227,698.4375,8
36,1.5,36,36,9.016852497,698.4375,9
37.001,1.5,37,37,5.994146716,698.4375,9
38,1.166666667,38,38,12.21897198,698.4375,7
39,1.333333333,39,39,11.00720862,699.6015625,8
40,1.5,40,40,8.883407826,698.4375,9
41.001,0.666666667,41,41,6.665689773,698.4375,4
42.001,1.5,42,42,9.997831581,698.4375,9
42.999,0.833333333,43,43,13.33264744,698.4375,5
44,1.666666667,44,44,12.00225762,698.4375,10
45,2.166666667,45,45,14.97758754,698.4375,13
46.001,1.5,46,46,18.02269418,698.4375,9
47.001,2.166666667,47,47,9.989974506,698.4375,13
48.001,2,48,48,14.01741804,698.4375,12
49,1.833333333,49,49,14.44327133,698.4375,11
50.001,1.666666667,50,50,11.00305665,698.4375,10
