Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,696.109375,0
1,0,1,1,14.82554255,698.4375,0
2.001,0,2,2,14.42325348,698.8255208,0
3.001,0,3,3,13.33155579,698.4375,0
4,0,4,4,17.76293389,698.8255208,0
5.001,0,5,5,12.00383763,698.4375,0
6.001,0,6,6,9.98927374,699.2135417,0
7.001,0,7,7,14.03916365,699.2135417,0
8,0,8,8,14.42566543,699.2135417,0
9.001,0,9,9,18.9785675,698.8255208,0
10,0,10,10,11.11001369,698.8255208,0
11.001,0,11,11,7.019340389,698.4375,0
12,0,12,12,11.09665094,698.4375,0
13.001,0,13,13,9.989233826,698.4375,0
14,0,14,14,12.21768539,698.4375,0
15,0,15,15,14.44062891,698.8255208,0
16.001,0,16,16,14.0031395,698.8255208,0
17,0.083333333,17,17,8.014667643,699.2135417,1
18,0.333333333,18,18,9.995144359,698.8255208,4
19,0.75,19,19,9.992475666,699.6015625,9
20.001,0.833333333,20,20,6.001958439,699.6015625,10
21,1,21,21,18.97203143,698.8255208,12
22,1.583333333,22,22,12.99593747,699.2135417,19
23,1.333333333,23,23,18.06387748,698.8255208,16
24,0.833333333,24,24,16.63834266,699.2135417,10
25,1.666666667,25,25,14.43522835,698.4375,20
26,1.416666667,26,26,2.218627799,698.4375,17
27,1.166666667,27,27,20.03536041,698.8255208,14
28,1.416666667,28,28,14.43615969,698.8255208,17
29,1.583333333,29,29,8.883482796,699.6015625,19
30,2.083333333,30,30,12.00696404,698.8255208,25
31,1.916666667,31,31,17.00486509,699.2135417,23
32,1.75,32,32,17.76253752,699.6015625,21
33.001,1.583333333,33,33,10.00150523,699.2135417,19
34,2.416666667,34,34,10.01193322,698.4375,29
35,2.25,35,35,21.11048718,698.8255208,27
36,2.083333333,36,36,8.877694117,698.4375,25
37.001,1.333333333,37,37,16.00628727,698.4375,16
38.001,2.083333333,38,38,18.00898108,698.4375,25
39,1.75,39,39,7.773060394,699.6015625,21
40.001,2.25,40,40,13.00753657,698.8255208,27
41,1.75,41,41,12.21108707,699.6015625,21
42.001,2.583333333,42,42,14.44232945,699.2135417,31
43.001,2,43,43,10.03091427,698.4375,24
44,1.666666667,44,44,6.661286568,698.8255208,20
45,2.583333333,45,45,13.31386698,698.4375,31
46,2.416666667,46,46,9.990437154,698.4375,29
47.001,2.75,47,47,16.03187939,698.4375,33
48.001,2.25,48,48,22.18682684,698.4375,27
48.999,1.833333333,49,49,15.02083089,698.8255208,22
50,2.333333333,50,50,14.43001283,698.4375,28
51,1.833333333,51,51,7.771069618,699.6015625,22
51.999,2.25,52,52,11.00372696,699.2135417,27
53,1.25,53,53,7.011805777,698.8255208,15
54,1.083333333,54,54,10.97937196,699.6015625,13
55,2.916666667,55,55,17.0086557,698.4375,35
56.001,2.25,56,56,12.98546018,699.2135417,27
57,2.583333333,57,57,7.993789625,698.4375,31
58.001,2,58,58,11.11076297,698.4375,24
59,2,59,59,19.05567114,698.4375,24
60,2,60,60,15.54331951,698.4375,24
61.001,1.75,61,61,7.777355208,698.8255208,21
62.001,2.416666667,62,62,9.98572596,698.4375,29
63,2.583333333,63,63,7.008194682,699.2135417,31
64,2,64,64,16.64509647,698.8255208,24
65,2.083333333,65,65,10.00941987,698.8255208,25
66,3.083333333,66,66,9.993067032,699.2135417,37
67,1.833333333,67,67,13.32164581,699.2135417,22
68,2.833333333,68,68,9.004225683,698.8255208,34
69.001,2.166666667,69,69,15.0258866,699.6015625,26
70.001,3.083333333,70,70,15.53994827,698.4375,37
71,2.833333333,71,71,16.97166411,698.8255208,34
72.001,3.083333333,72,72,15.02800619,698.4375,37
73.001,4,73,73,12.98369248,698.4375,48
74,2.416666667,74,74,13.00371776,698.4375,29
75,3.583333333,75,75,13.98867477,698.4375,43
76,3.666666667,76,76,11.01830471,698.4375,44
77,3.333333333,77,77,4.443088809,698.8255208,40
78.001,4.166666667,78,78,17.7579796,699.6015625,50
79.001,4.75,79,79,14.0090933,700.3776042,57
80.001,4.166666667,80,80,14.00930077,699.2135417,50
81,5,81,81,10.00947096,699.2135417,60
82,4.333333333,82,82,7.77413171,698.8255208,52
83,5.25,83,83,16.99424235,699.2135417,63
84.001,5.083333333,84,84,16.00931742,698.8255208,61
85,5,85,85,8.880892139,698.4375,60
86.001,4.25,86,86,11.00118263,698.4375,51
87.001,3.75,87,87,11.10394413,698.4375,45
88,3.416666667,88,88,15.00157517,698.4375,41
89,3,89,89,10.01139297,699.2135417,36
90.001,4,90,90,9.987525581,698.8255208,48
91,4.083333333,91,91,16.01700205,698.4375,49
92.001,3,92,92,13.31762741,698.8255208,36
93,3.416666667,93,93,17.01606487,698.8255208,41
94,3.5,94,94,11.10908309,698.8255208,42
95.001,2.916666667,95,95,16.650865,699.6015625,35
96.001,3.166666667,96,96,12.01132909,699.2135417,38
97.001,3.166666667,97,97,6.662853294,698.4375,38
98,3.583333333,98,98,11.01038059,698.4375,43
99.001,2.333333333,99,99,12.21302988,698.4375,28
100.001,3.25,100,100,7.994876084,698.4375,39
101,2.583333333,101,101,11.03648552,698.4375,31
102,3.333333333,102,102,16.65276346,698.4375,40
103.001,2.25,103,103,14.43416892,699.6015625,27
