Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,698.4375,,
1.001,0,1,1,699.6015625,36.9843822350698,0.258890675645488
2,0,2,2,698.4375,27.9746885018435,0.195822819512905
3,0,3,3,698.4375,35.073914767982,0.245517403375874
4,0,4,4,701.541666666667,38.8431575447395,0.271902102813177
5,0,5,5,698.4375,40.0405290234776,0.280283703164343
6.001,0,6,6,698.4375,37.7318957924941,0.264123270547459
7,0,7,7,698.4375,34.4134952410577,0.240894466687404
8,0,8,8,698.4375,44.4051853267062,0.310836297286943
9.001,0,9,9,698.4375,43.0152402996382,0.301106682097467
10.001,0,10,10,699.213541666667,47.1012630053352,0.329708841037346
11.001,0,11,11,698.4375,53.282495911956,0.372977471383692
12.001,0,12,12,698.4375,33.3175963220039,0.233223174254027
13,1,13,13,698.4375,45.0684364207048,0.315479054944934
14.001,0,14,14,700.377604166667,47.7360034707405,0.334152024295183
15,1,15,15,698.4375,34.3905201089137,0.240733640762396
16,4,16,16,698.4375,49.0538022102642,0.34337661547185
17,21,17,17,698.4375,37.0166278692389,0.259116395084672
18.001,30,18,18,698.4375,38.8105089100058,0.27167356237004
19,39,19,19,698.4375,40.0999290231256,0.280699503161879
20,43,20,20,698.4375,43.976868167344,0.307838077171408
21.001,57,21,21,701.541666666667,48.7910790391085,0.341537553273759
22.001,47,22,22,698.4375,34.0536276528277,0.238375393569794
23,61,23,23,698.4375,33.2912458005868,0.233038720604107
24,67,24,24,698.4375,36.6626948747219,0.256638864123053
25.001,51,25,25,698.4375,31.0560624038514,0.21739243682696
26,54,26,26,698.825520833333,29.9710313331592,0.209797219332114
27.001,78,27,27,698.4375,44.100394548189,0.308702761837323
28.001,64,28,28,698.4375,42.0928381915853,0.294649867341097
29,72,29,29,698.4375,33.3313075305312,0.233319152713718
30.001,63,30,30,698.4375,25.5539002306851,0.178877301614795
31.001,78,31,31,698.4375,35.035568108744,0.245248976761208
32.001,69,32,32,698.4375,34.0134829446393,0.238094380612475
33.001,80,33,33,698.4375,40.9900804005431,0.286930562803801
34.001,87,34,34,698.4375,40.9472108557648,0.286630475990353
35.001,57,35,35,698.4375,33.0960281256064,0.231672196879245
36.001,82,36,36,698.825520833333,32.1588835145357,0.22511218460175
37.001,69,37,37,698.4375,47.9191795118353,0.335434256582847
38,78,38,38,698.4375,43.1511671688258,0.302058170181781
39.001,71,39,39,698.4375,34.4021756379773,0.240815229465841
39.999,67,40,40,698.4375,37.0324255918482,0.259226979142938
41,74,41,41,699.989583333333,44.9163119276165,0.314414183493315
42,75,42,42,698.4375,32.0409804139494,0.224286862897646
43.001,78,43,43,698.4375,34.3896655283318,0.240727658698322
44.001,72,44,44,698.4375,29.9984267491749,0.209988987244225
45,79,45,45,698.4375,43.029010158649,0.301203071110543
46,80,46,46,698.4375,39.066268110596,0.273463876774172
47.001,88,47,47,698.4375,29.9788782148044,0.209852147503631
48,88,48,48,698.4375,44.415273479829,0.310906914358803
49,78,49,49,698.825520833333,39.9830294252884,0.279881205977019
50.001,88,50,50,698.4375,33.316563996122,0.233215947972854
51,93,51,51,698.4375,45.0719212647622,0.315503448853335
52.001,69,52,52,698.049479166667,41.0736610597049,0.287515627417934
53.001,63,53,53,697.661458333333,34.9827325232265,0.244879127662586
54.001,73,54,54,699.213541666667,41.0246763428202,0.287172734399741
55,63,55,55,698.4375,34.4404416997758,0.24108309189843
56,59,56,56,698.4375,36.6544770166988,0.256581339116891
57,60,57,57,698.4375,45.9857857936112,0.321900500555278
57.999,61,58,58,698.4375,50.0191173066346,0.350133821146442
59,81,59,59,698.4375,41.0892242509934,0.287624569756954
60,47,60,60,698.4375,49.9863703830089,0.349904592681062
61,72,61,61,698.4375,39.004540128471,0.273031780899297
62.001,70,62,62,698.4375,27.7301712360258,0.194111198652181
63,76,63,63,698.4375,48.1245029014564,0.336871520310195
64,70,64,64,698.4375,37.7580219416308,0.264306153591415
65.001,74,65,65,698.4375,29.9753070082046,0.209827149057432
66,61,66,66,698.4375,33.3220519675172,0.233254363772621
67,75,67,67,698.049479166667,43.2927343691028,0.303049140583719
68,73,68,68,698.4375,44.066191826743,0.308463342787201
69.001,79,69,69,698.049479166667,39.9709810677448,0.279796867474214
70.001,69,70,70,698.4375,49.9896621378699,0.349927634965089
71.001,92,71,71,698.4375,32.1954642141864,0.225368249499305
72,117,72,72,698.4375,42.0487807905952,0.294341465534166
73.001,101,73,73,699.213541666667,26.6484657645495,0.186539260351846
74,112,74,74,698.4375,29.0393832115115,0.20327568248058
75,116,75,75,698.4375,35.4990135156947,0.248493094609863
76,108,76,76,698.4375,40.0457723177592,0.280320406224314
77.001,112,77,77,698.4375,33.951954589061,0.237663682123427
78.001,153,78,78,698.4375,35.0822011054101,0.245575407737871
79.001,135,79,79,698.4375,25.5161331298699,0.178612931909089
80,164,80,80,698.4375,36.6419821846683,0.256493875292678
81.001,144,81,81,698.4375,39.0365655509516,0.273255958856661
82.001,139,82,82,698.4375,38.8441749275279,0.271909224492695
83,135,83,83,698.4375,44.0766846158947,0.308536792311263
83.999,137,84,84,698.4375,36.6541838807117,0.256579287164982
85.001,122,85,85,698.4375,53.2970853933675,0.373079597753572
86,121,86,86,698.4375,49.9368132855893,0.349557692999125
86.999,116,87,87,698.825520833333,39.0797108862948,0.273557976204063
88.001,136,88,88,698.825520833333,31.9657231550608,0.223760062085426
89.001,102,89,89,698.4375,38.0735810026457,0.26651506701852
89.999,111,90,90,698.4375,34.4210228506736,0.240947159954715
91.001,102,91,91,698.049479166667,38.0024625595739,0.266017237917017
92,105,92,92,698.4375,42.163708364725,0.295145958553075
92.999,98,93,93,698.4375,45.5414680614352,0.318790276430047
94,109,94,94,698.4375,42.0594341864489,0.294416039305142
95.001,90,95,95,698.825520833333,42.1749534715925,0.295224674301147
96,106,96,96,698.4375,40.0444012320861,0.280310808624603
97,83,97,97,698.4375,40.9884084780824,0.286918859346577
98.001,85,98,98,698.4375,37.0108293686733,0.259075805580713
99,102,99,99,698.4375,39.9976356953122,0.279983449867186
100.001,81,100,100,697.661458333333,30.97399113964,0.21681793797748
101.001,69,101,101,698.4375,23.0267824506684,0.161187477154679
102,73,102,102,698.825520833333,42.1893848177058,0.29532569372394
103,79,103,103,698.4375,35.5392983009883,0.248775088106918
104,71,104,104,698.4375,44.0597361903268,0.308418153332288
105,59,105,105,698.4375,31.1077169135545,0.217754018394882
106.001,58,106,106,698.4375,44.4031495153951,0.310822046607766
107.001,70,107,107,698.4375,41.0824720633638,0.287577304443547
108,65,108,108,698.4375,31.0342121154361,0.217239484808052
109.001,68,109,109,698.4375,33.2962967525789,0.233074077268052
110,67,110,110,698.4375,38.9923497009887,0.272946447906921
111,70,111,111,698.4375,42.1430775226347,0.295001542658443
112.001,79,112,112,698.4375,40.0067731466937,0.280047412026856
113,69,113,113,699.213541666667,29.0134622464824,0.203094235725377
114.001,93,114,114,698.4375,36.5735058198977,0.256014540739284
115.001,77,115,115,698.825520833333,40.0163586874314,0.28011451081202
116.001,73,116,116,698.4375,38.0236621249404,0.266165634874582
117,72,117,117,698.049479166667,41.0728859452581,0.287510201616806
118.001,77,118,118,698.4375,41.0043997720955,0.287030798404669
119.001,57,119,119,698.4375,42.0223222575832,0.294156255803083
120,75,120,120,698.4375,43.0509163187302,0.301356414231111
121,67,121,121,698.4375,32.1573073378096,0.225101151364667
122.001,72,122,122,698.4375,46.6612384092651,0.326628668864855
123.001,56,123,123,698.4375,49.1954090844242,0.34436786359097
124,58,124,124,698.4375,55.3597787734665,0.387518451414265
125,70,125,125,697.2734375,48.9591827293585,0.34271427910551
126.001,70,126,126,698.4375,41.0090383920616,0.287063268744431
127,79,127,127,698.4375,33.0792313749894,0.231554619624926
128.001,79,128,128,698.4375,31.0632805619969,0.217442963933978
