Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Raw
0,0,0,0,699.6015625,,0
1,0,1,1,699.6015625,8.470407467,0
1.999,0,2,2,699.6015625,11.01322689,0
3.001,0,3,3,699.6015625,8.990823965,0
4.001,0,4,4,699.6015625,12.22074215,0
5,0,5,5,699.6015625,13.01074297,0
6.001,0,6,6,698.4375,14.00214233,0
6.999,0,7,7,698.8255208,8.005526215,0
8,0,8,8,699.2135417,9.994343202,0
9.002,0,9,9,699.2135417,15.53487518,0
10,0,10,10,699.6015625,11.01826277,0
11.001,0,11,11,699.6015625,19.98247936,0
12.001,0,12,12,699.6015625,21.02593128,0
13.001,0,13,13,699.6015625,15.53793726,0
14.001,0,14,14,699.6015625,15.55504224,0
15,0,15,15,699.6015625,22.22127411,0
16,0,16,16,699.2135417,12.00592973,0
17,0.083333333,17,17,699.6015625,8.887813463,1
18.001,0.416666667,18,18,698.4375,11.10904977,5
19,0.833333333,19,19,698.8255208,9.993872757,10
20,1,20,20,698.4375,13.00669064,12
21.001,1.333333333,21,21,699.6015625,10.01357039,16
22.001,0.916666667,22,22,699.6015625,9.989122955,11
23,0.833333333,23,23,699.6015625,15.00649331,10
24,1.916666667,24,24,699.6015625,13.32471372,23
25,1.416666667,25,25,699.6015625,8.876476616,17
26,1.333333333,26,26,699.6015625,9.016296957,16
27.001,1.583333333,27,27,699.6015625,12.97875378,19
28,1.333333333,28,28,699.6015625,12.02719469,16
29.001,2,29,29,699.2135417,14.42584952,24
30,1.833333333,30,30,698.8255208,8.997627326,22
31,1.916666667,31,31,698.8255208,15.01773895,23
32.001,1.583333333,32,32,699.6015625,9.00153026,19
33,1.833333333,33,33,699.2135417,12.21016265,22
34.001,1.75,34,34,699.6015625,13.99574809,21
35.001,1.5,35,35,699.6015625,10.9997712,18
36,1.583333333,36,36,699.6015625,12.00632493,19
37,2.416666667,37,37,699.6015625,9.987860311,29
38,1.833333333,38,38,699.6015625,12.21312209,22
39.001,1.833333333,39,39,699.6015625,9.021117534,22
39.999,1.666666667,40,40,699.2135417,13.32373284,20
41,2.083333333,41,41,698.4375,10.00409267,25
42,2.083333333,42,42,699.2135417,16.01000305,25
43.001,2.166666667,43,43,698.4375,13.98193534,26
44,1.833333333,44,44,699.6015625,11.01813806,22
45,1.5,45,45,698.4375,13.29929453,18
46.001,2.166666667,46,46,699.6015625,13.32067573,26
47.001,1.916666667,47,47,699.6015625,14.40321285,23
48.001,2.5,48,48,699.6015625,9.010610895,30
49.001,1.916666667,49,49,699.6015625,16.64185182,23
50,2.5,50,50,699.2135417,11.00860763,30
51,2.166666667,51,51,699.6015625,15.02456065,26
52,1.916666667,52,52,699.6015625,8.883213502,23
53,1.916666667,53,53,698.8255208,7.989200199,23
54,1.833333333,54,54,698.8255208,12.01494178,22
55,2.333333333,55,55,698.4375,17.01194919,28
56.001,2.166666667,56,56,699.6015625,12.20739837,26
57,1.666666667,57,57,699.6015625,8.007974341,20
58,2.166666667,58,58,699.6015625,15.54410818,26
59.001,1.333333333,59,59,699.9895833,9.010533313,16
60.001,1.833333333,60,60,699.6015625,12.21459217,22
61,1.75,61,61,698.4375,15.5484171,21
62.001,2.333333333,62,62,699.2135417,15.53806832,28
63.001,1.75,63,63,698.4375,13.01643194,21
64.001,1.833333333,64,64,699.6015625,11.09582476,22
65.001,2,65,65,699.6015625,14.01578598,24
66,1.75,66,66,699.6015625,18.87020319,21
67,2,67,67,699.6015625,8.881604,24
68.001,3.083333333,68,68,699.6015625,11.00631542,37
69,2,69,69,699.2135417,7.77664066,24
70.001,2.916666667,70,70,699.6015625,7.772153329,35
71.001,2.25,71,71,699.2135417,9.00373565,27
72.001,3.166666667,72,72,698.4375,9.992551552,38
72.999,2.916666667,73,73,698.8255208,13.03537802,35
74,3,74,74,699.2135417,5.538898242,36
75.001,2.833333333,75,75,699.6015625,13.02425116,34
76,3.833333333,76,76,699.6015625,9.997496627,46
77.001,4.333333333,77,77,699.9895833,13.0000897,52
78,4.25,78,78,699.6015625,12.2144796,51
79.001,4.666666667,79,79,699.6015625,11.00935355,56
80,4.25,80,80,699.6015625,11.98577528,51
81,5.583333333,81,81,698.8255208,11.01004557,67
82,4,82,82,698.8255208,16.99684708,48
83.001,5.416666667,83,83,698.8255208,12.010163,65
84.001,3.833333333,84,84,699.6015625,9.981891739,46
85,4.666666667,85,85,700.3776042,17.76563201,56
86,4.5,86,86,699.6015625,16.9936138,54
86.999,3.833333333,87,87,699.6015625,10.01500548,46
88.001,4.25,88,88,699.6015625,16.65485837,51
89.001,4,89,89,699.2135417,13.02297644,48
90,3.083333333,90,90,699.2135417,8.865923193,37
91,3,91,91,699.2135417,11.00998385,36
92,3.25,92,92,698.8255208,7.00037872,39
93,4,93,93,699.2135417,13.98428725,48
94.001,3.916666667,94,94,699.6015625,13.02368096,47
