Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Raw
122.001,1.666666667,122,122,699.6015625,7.769739551,20
123,1.416666667,123,123,699.9895833,8.004616262,17
124,2.083333333,124,124,699.6015625,9.021470197,25
125,1.75,125,125,699.6015625,11.09212263,21
126.001,2.083333333,126,126,699.6015625,12.20929394,25
127.001,1.916666667,127,127,699.2135417,8.011608019,23
128,2.25,128,128,699.2135417,5.546898696,27
129,3.333333333,129,129,699.9895833,6.012219837,40
130.001,2.416666667,130,130,699.6015625,7.763488646,29
131,1.5,131,131,699.6015625,11.02359822,18
132.002,2.083333333,132,132,699.6015625,14.41397171,25
133,1.666666667,133,133,699.6015625,10.99521159,20
134,1.916666667,134,134,699.2135417,10.02749238,23
135.001,2,135,135,699.6015625,5.550175585,24
136.001,3,136,136,699.6015625,11.99523549,36
137.001,1.75,137,137,699.6015625,9.992391349,21
138,2,138,138,699.6015625,10.01108127,24
139.001,1.75,139,139,699.6015625,5.551421597,21
140,2.75,140,140,699.6015625,14.99906406,33
141,1.916666667,141,141,699.2135417,9.997477303,23
142,2.166666667,142,142,698.8255208,6.666221511,26
143.001,1.5,143,143,699.2135417,9.996765047,18
144,2.666666667,144,144,699.6015625,10.00906321,32
145.001,1.75,145,145,699.6015625,9.996888746,21
146.001,2.25,146,146,699.6015625,3.333266668,27
147.001,2.666666667,147,147,699.6015625,8.995610142,32
148.001,2.833333333,148,148,699.6015625,15.01189693,34
149.001,2.166666667,149,149,699.6015625,11.00415517,26
150.001,2.583333333,150,150,699.2135417,12.20146347,31
151,2.916666667,151,151,699.6015625,9.025554051,35
152,1.916666667,152,152,698.8255208,12.21006913,23
153,2.416666667,153,153,699.6015625,7.774328567,29
154.001,2.416666667,154,154,699.6015625,6.663562927,29
155.001,2,155,155,699.6015625,9.994716127,24
156,3.25,156,156,699.6015625,9.006690169,39
157,1.583333333,157,157,699.6015625,5.548485552,19
158.001,2,158,158,698.4375,7.009729505,24
159,2.416666667,159,159,699.6015625,9.982532786,29
160.001,1.833333333,160,160,699.6015625,8.001547499,22
161.001,2.5,161,161,699.6015625,11.02969082,30
162.001,2.416666667,162,162,699.6015625,5.551419131,29
163,2.5,163,163,699.6015625,7.767194544,30
164,2.333333333,164,164,699.6015625,9.001636498,28
165.001,3,165,165,699.6015625,6.014545577,36
166.001,2.583333333,166,166,699.9895833,8.879558446,31
167,2.333333333,167,167,699.6015625,6.658827747,28
168,2.333333333,168,168,698.8255208,10.01180191,28
169,2.416666667,169,169,699.6015625,6.002791298,29
170.001,2.333333333,170,170,699.2135417,7.988463859,28
171,2.333333333,171,171,699.6015625,13.00650976,28
172.001,3,172,172,699.2135417,8.883422623,36
173.001,2.583333333,173,173,699.6015625,8.010132818,31
174.001,2,174,174,699.6015625,16.65136406,24
175,3,175,175,699.6015625,7.773764788,36
176,2.25,176,176,699.6015625,10.00737944,27
177,2.416666667,177,177,699.9895833,8.880666379,29
178,3.083333333,178,178,699.6015625,9.009590709,37
179,1.75,179,179,699.2135417,5.551188621,21
180.001,2.416666667,180,180,699.2135417,6.66288289,29
181,2.666666667,181,181,698.8255208,9.003034022,32
182.001,2.666666667,182,182,699.6015625,11.00600488,32
183.001,2.833333333,183,183,698.8255208,6.665816405,34
184,2.333333333,184,184,699.9895833,13.01200878,28
185,3.333333333,185,185,698.8255208,8.885417652,40
186,3.333333333,186,186,698.8255208,9.99805038,40
187,2.583333333,187,187,698.8255208,12.00106449,31
188,2.5,188,188,699.6015625,9.005435681,30
189,3.333333333,189,189,699.2135417,4.996128001,40
190.001,3,190,190,699.6015625,5.993897613,36
191,4,191,191,699.6015625,9.010581125,48
192.001,2.333333333,192,192,699.6015625,6.661100207,28
193.001,2.916666667,193,193,699.6015625,7.000944427,35
194,3.416666667,194,194,699.6015625,11.9905155,41
195.001,2.5,195,195,699.6015625,12.01327347,30
195.999,3.25,196,196,699.6015625,11.00298181,39
197,3.583333333,197,197,699.6015625,9.989898215,43
198,3,198,198,699.6015625,11.01223459,36
199,3.833333333,199,199,698.8255208,8.999588719,46
200,3.75,200,200,699.2135417,9.988572075,45
201,3.5,201,201,699.6015625,8.019595883,42
202.001,2.833333333,202,202,699.2135417,8.873012113,34
203.001,3.25,203,203,699.6015625,18.02037925,39
204,3.333333333,204,204,699.6015625,7.763295781,40
205,2.5,205,205,699.6015625,7.002873279,30
206.001,2.916666667,206,206,699.2135417,6.65907606,35
207.001,2.416666667,207,207,699.6015625,9.018353251,29
208,2.583333333,208,208,699.6015625,11.10019469,31
209.001,2.416666667,209,209,699.6015625,4.999378077,29
210.001,2.5,210,210,699.6015625,8.002701712,30
211,2.916666667,211,211,699.6015625,8.002564822,35
212.001,2.25,212,212,699.6015625,5.544460474,27
213.001,2.916666667,213,213,699.6015625,6.006506248,35
214,2.583333333,214,214,699.6015625,13.0011363,31
215.001,2.25,215,215,699.6015625,6.665938598,27
215.999,2.75,216,216,699.2135417,9.017033176,33
217,3.25,217,217,698.8255208,6.652381786,39
218.001,2.833333333,218,218,699.6015625,5.007350791,34
219.001,1.916666667,219,219,698.4375,12.20797145,23
220.001,2.5,220,220,699.2135417,8.002441545,30
221.001,2.166666667,221,221,699.2135417,6.663944075,26
222,2.083333333,222,222,699.2135417,5.554569311,25
223,2.5,223,223,699.6015625,6.664742778,30
224,2.916666667,224,224,699.6015625,3.005403415,35
225.001,2.833333333,225,225,699.2135417,9.988587484,34
226.001,2.25,226,226,699.6015625,9.003737451,27
227.001,1.25,227,227,699.6015625,12.01599329,15
228.001,2.333333333,228,228,699.6015625,7.765045691,28
229,2.166666667,229,229,699.2135417,8.888073161,26
230.001,1.75,230,230,699.6015625,15.53839081,21
231.001,1.583333333,231,231,698.8255208,9.997696086,19
232.001,2,232,232,699.6015625,5.999011963,24
233.001,1.416666667,233,233,699.6015625,11.1069164,17
234.001,2,234,234,699.6015625,14.43051579,24
235,1.5,235,235,699.6015625,12.00658681,18
236.001,2.083333333,236,236,699.6015625,15.0190637,25
237.001,2,237,237,699.6015625,7.771740862,24
237.999,2.416666667,238,238,699.6015625,5.550711018,29
239.001,1.75,239,239,699.6015625,16.01532827,21
240.001,1.916666667,240,240,699.6015625,11.10484304,23
241,2.083333333,241,241,699.6015625,12.01306661,25
242.001,1.833333333,242,242,699.6015625,5.550098575,22
243,2.166666667,243,243,699.6015625,10.99642946,26
244,2.5,244,244,699.9895833,5.002631885,30
245,1.5,245,245,699.2135417,8.887177613,18
246,1.333333333,246,246,698.8255208,11.99945043,16
247.001,1.583333333,247,247,699.6015625,6.997582335,19
248,1.166666667,248,248,699.2135417,2.003275957,14
249.001,1.583333333,249,249,699.2135417,10.99616674,19
250.001,1.75,250,250,699.6015625,12.22080189,21
251.001,1.916666667,251,251,699.2135417,5.552742166,23
252,2.166666667,252,252,699.6015625,7.008421319,26
253.001,1.083333333,253,253,699.6015625,6.984499301,13
254.001,1.75,254,254,698.8255208,11.00266815,21
255.001,1.583333333,255,255,699.2135417,6.00142834,19
256,1.25,256,256,698.4375,7.77371558,15
257,1.416666667,257,257,699.6015625,3.332695678,17
258,1.75,258,258,699.6015625,10.00271474,21
259.001,1.416666667,259,259,698.8255208,14.00114669,17
260.001,1.5,260,260,698.4375,11.00619759,18
261.001,1.25,261,261,698.8255208,11.99214275,15
262.001,0.916666667,262,262,698.8255208,5.999386263,11
263.001,1.25,263,263,698.4375,12.21309633,15
264.001,1.083333333,264,264,699.6015625,11.01303613,13
265.001,0.833333333,265,265,698.4375,8.876412598,10
266.001,0.583333333,266,266,698.8255208,9.020777557,7
267.001,1.083333333,267,267,698.4375,9.986499362,13
268.001,1.083333333,268,268,699.2135417,11.10625768,13
269.001,1.083333333,269,269,698.4375,11.99738457,13
270.001,0.833333333,270,270,699.6015625,7.005049941,10
271.001,1.333333333,271,271,698.8255208,4.43684413,16
272.001,1.666666667,272,272,699.6015625,8.021700304,20
273,1.416666667,273,273,699.6015625,9.991373004,17
274.001,1.083333333,274,274,699.6015625,7.997374462,13
275.001,1.166666667,275,275,699.6015625,10.00260068,14
276.001,1.166666667,276,276,699.6015625,8.8828091,14
277,1.416666667,277,277,699.6015625,8.885386072,17
278.001,1.333333333,278,278,699.6015625,13.31535465,16
279.001,0.833333333,279,279,699.6015625,11.01503552,10
280.001,1,280,280,699.6015625,11.09491623,12
