Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,698.4375,0
1.001,0,1,1,8.443417912,699.2135417,0
2.001,0,2,2,14.00907087,699.2135417,0
3,0,3,3,12.21836936,699.6015625,0
4,0,4,4,8.010581979,699.2135417,0
5,0,5,5,21.07960647,699.6015625,0
5.999,0,6,6,9.010333952,699.2135417,0
7,0,7,7,6.657961013,699.6015625,0
8.001,0,8,8,6.009508244,699.6015625,0
9,0,9,9,9.982201734,699.6015625,0
10.001,0,10,10,12.02484574,699.6015625,0
11,0,11,11,8.881914612,699.6015625,0
12.001,0,12,12,5.551937543,699.6015625,0
13,0,13,13,6.661530627,699.6015625,0
14,0,14,14,13.31708797,699.6015625,0
15,0,15,15,6.007186999,699.9895833,0
16.001,0,16,16,11.09108923,699.2135417,0
17.001,0.166666667,17,17,10.00693681,699.6015625,2
18.001,0.25,18,18,11.10047809,699.6015625,3
19.001,0.833333333,19,19,10.02505663,699.2135417,10
20.001,0.75,20,20,7.772700477,699.2135417,9
21.001,1.333333333,21,21,6.659265263,699.6015625,16
21.999,0.5,22,22,13.00201141,699.6015625,6
23,0.5,23,23,5.547295632,699.6015625,6
24,1,24,24,13.02593986,699.9895833,12
25.001,0.583333333,25,25,9.991214392,699.9895833,7
26,1.083333333,26,26,9.992705325,699.6015625,13
27.001,0.75,27,27,11.10904853,699.6015625,9
28,0.833333333,28,28,8.99618292,699.6015625,10
29,0.75,29,29,8.017982732,699.6015625,9
30.001,0.916666667,30,30,3.329076554,699.6015625,11
31.001,1.416666667,31,31,11.0045691,699.6015625,17
32,1.25,32,32,10.99252618,698.8255208,15
33.001,1.666666667,33,33,9.0009496,699.2135417,20
34.001,1.75,34,34,8.010747218,699.6015625,21
35,1.166666667,35,35,9.973901292,699.6015625,14
36.001,1.916666667,36,36,14.03328555,699.6015625,23
37,1.416666667,37,37,12.19932003,699.6015625,17
38.001,1.583333333,38,38,12.22016245,699.6015625,19
39,1.166666667,39,39,12.01530028,699.6015625,14
40.001,2,40,40,11.1032007,699.6015625,24
41,1.5,41,41,8.879587028,699.6015625,18
42.001,1.333333333,42,42,8.007177634,698.8255208,16
43,0.916666667,43,43,13.32980538,699.6015625,11
44.001,1,44,44,13.01232658,699.2135417,12
45.001,2,45,45,7.769810269,698.8255208,24
46,1.666666667,46,46,5.552023851,699.6015625,20
47.001,1.916666667,47,47,3.00146982,699.6015625,23
48.001,2,48,48,10.02105624,699.6015625,24
49.001,2,49,49,9.985290558,699.6015625,24
50.001,1.583333333,50,50,14.42185341,699.6015625,19
51,1.833333333,51,51,7.010560709,699.6015625,22
51.999,1.583333333,52,52,12.97972567,699.6015625,19
53,1.333333333,53,53,18.00346387,699.2135417,16
54.001,2,54,54,11.09863994,698.8255208,24
54.999,0.833333333,55,55,10.02086946,699.6015625,10
56,1.833333333,56,56,7.771512212,699.6015625,22
57,1.5,57,57,8.003477511,699.6015625,18
58,1,58,58,7.761410687,699.2135417,12
59.001,2,59,59,3.330885503,699.6015625,24
60.001,1.583333333,60,60,12.21821465,699.9895833,19
61.001,1.083333333,61,61,8.013953094,699.6015625,13
62.001,1.083333333,62,62,9.9970009,699.2135417,13
63.001,1.75,63,63,4.43830085,699.2135417,21
64,1.166666667,64,64,8.009118381,699.2135417,14
65,2.083333333,65,65,9.995076869,699.2135417,25
66,2.083333333,66,66,8.883891207,699.2135417,25
67,1.833333333,67,67,10.98943146,698.8255208,22
68.001,2.083333333,68,68,15.02281515,699.2135417,25
69,1.083333333,69,69,9.997595023,699.6015625,13
70.001,2.333333333,70,70,17.77401166,699.6015625,28
71.001,1.666666667,71,71,13.007655,699.6015625,20
72,2.833333333,72,72,14.43536781,699.6015625,34
73,2,73,73,13.02684442,699.9895833,24
73.999,2.833333333,74,74,11.09599097,699.9895833,34
75,3.083333333,75,75,9.99877415,699.6015625,37
76,3.083333333,76,76,6.000182406,699.9895833,37
77.001,3.416666667,77,77,7.002170673,699.6015625,41
78.001,4.416666667,78,78,7.770905707,699.6015625,53
