Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1.001,0,1,1,10.5140862470495,699.6015625
2,0,2,2,15.529621088338,699.6015625
3.001,0,3,3,10.0039075262798,699.6015625
4,0,4,4,7.77262021245458,699.6015625
5,0,5,5,8.00552781695761,698.825520833333
6,0,6,6,7.77642813547249,698.4375
7,0,7,7,14.0119087212222,698.825520833333
8.001,0,8,8,3.32519068028857,699.213541666667
9,0,9,9,4.00959897995802,698.4375
10,0,10,10,8.87262241446238,699.6015625
11,0,11,11,11.0275954548663,699.6015625
12.001,0,12,12,4.43419701514245,699.6015625
13,0,13,13,9.01005522162734,699.6015625
14,0,14,14,14.4233126887651,699.6015625
15,0,15,15,13.9820554300611,699.6015625
16,0,16,16,9.01779933232214,698.825520833333
17,2,17,17,7.77726966282647,698.4375
18.001,1,18,18,11.1052179421232,698.4375
19.001,9,19,19,11.0209475149416,698.4375
20,5,20,20,14.4201321017209,698.825520833333
21.001,9,21,21,11.0054003499517,698.4375
22.001,13,22,22,14.4359432778475,698.825520833333
23.001,13,23,23,9.98390594361889,699.213541666667
24,7,24,24,7.01861265891016,699.6015625
25,14,25,25,8.88200730700536,699.6015625
26,13,26,26,4.99592981597892,699.6015625
27,16,27,27,9.00652612883295,699.6015625
28,14,28,28,6.66082660192047,699.6015625
29.001,8,29,29,4.44223073279593,699.6015625
30,15,30,30,16.0149675887084,699.6015625
31,10,31,31,13.0230925477056,698.4375
32.001,20,32,32,6.65863265644263,699.6015625
33,13,33,33,5.55259972163707,699.213541666667
34.001,20,34,34,11.0056844360112,698.825520833333
35,11,35,35,7.77760839875043,698.825520833333
36,19,36,36,7.98898478777462,699.213541666667
37,18,37,37,2.99731081273881,698.4375
38.001,14,38,38,14.424591398483,698.4375
39,13,39,39,4.00724871219549,698.4375
40,17,40,40,6.99689407871846,698.825520833333
41,20,41,41,7.77005520624224,698.825520833333
42.001,13,42,42,7.01901099126985,698.4375
43,19,43,43,5.55143515701679,698.825520833333
44.001,15,44,44,12.2199601718171,698.4375
45.001,19,45,45,12.2193072385954,698.4375
46,15,46,46,11.0010836067353,698.4375
47.001,18,47,47,14.4239464139295,698.4375
48,24,48,48,7.00930274660529,699.6015625
49.001,17,49,49,7.9985650574287,698.825520833333
50,17,50,50,9.99172906871534,699.6015625
51,16,51,51,10.0065342668763,699.6015625
52,20,52,52,7.75835602652471,699.6015625
53,17,53,53,13.0045489912371,699.6015625
54,11,54,54,8.01154142657913,699.6015625
55.001,18,55,55,11.9978511848528,698.825520833333
56.001,19,56,56,4.00098344172998,699.6015625
57.001,22,57,57,13.3317972140321,699.6015625
58,21,58,58,6.66109133322076,699.6015625
59,25,59,59,16.0053633972744,699.213541666667
60,20,60,60,15.5309131733206,698.4375
61,17,61,61,6.66416094215242,698.4375
62,26,62,62,9.00796303932676,698.825520833333
63,16,63,63,8.87905582784044,698.4375
64.001,13,64,64,5.00654906683433,698.825520833333
65,28,65,65,6.66638815978355,698.825520833333
66.001,21,66,66,12.0142994191687,698.825520833333
67,26,67,67,15.5381579979838,698.4375
68,34,68,68,5.99872587062508,699.6015625
69,27,69,69,6.65530532100534,699.6015625
70,35,70,70,10.0189769442301,699.6015625
71,32,71,71,13.3253410898663,699.213541666667
72.001,37,72,72,10.9947796786086,699.6015625
73,29,73,73,10.0091974515382,699.6015625
74.001,42,74,74,7.77764037279786,699.6015625
75.001,35,75,75,10.0068046271465,699.213541666667
76.001,38,76,76,14.4298078093898,698.825520833333
77.001,34,77,77,8.99410436458901,699.6015625
78,47,78,78,12.000528023233,699.6015625
79,49,79,79,8.01744194495124,699.6015625
80.001,42,80,80,14.410093982633,699.213541666667
80.999,43,81,81,12.214782062748,699.6015625
82,49,82,82,7.00679308589678,698.825520833333
83,44,83,83,9.98317280761206,698.825520833333
84,47,84,84,13.981291633665,698.4375
85.001,40,85,85,13.0232517136095,698.825520833333
86.001,37,86,86,6.99613183870638,698.4375
87.001,40,87,87,14.4434382182486,698.4375
88.001,40,88,88,6.00160362848953,698.4375
89,42,89,89,7.01241548161019,699.213541666667
90.001,34,90,90,4.4420442598627,698.4375
91,31,91,91,3.32770950427112,699.213541666667
92.001,35,92,92,6.00302912849824,698.825520833333
93.001,33,93,93,14.0076313575636,699.213541666667
94,35,94,94,4.44371518140856,699.6015625
95,28,95,95,11.1038528926036,699.6015625
96,29,96,96,10.0063109803353,699.6015625
97,25,97,97,7.77260726669936,699.6015625
98.001,31,98,98,7.76469685181475,699.6015625
99,28,99,99,11.02001344642,699.6015625
100.001,33,100,100,7.77608086413143,699.213541666667
101,36,101,101,6.98992332653247,699.213541666667
102.001,23,102,102,11.10542143353,698.825520833333
103,34,103,103,8.88727338008335,698.4375
104.001,31,104,104,11.005839698544,699.213541666667
105,42,105,105,7.77374924816739,698.4375
106,24,106,106,14.0061627115931,698.825520833333
107,33,107,107,7.01007277356834,699.213541666667
108.001,29,108,108,6.64976739113666,698.4375
109.001,22,109,109,7.00508569221255,698.4375
110,33,110,110,10.9856099495271,698.4375
111,28,111,111,6.01490553741226,698.4375
112,31,112,112,6.65624594385013,698.4375
113,37,113,113,13.3316935350285,699.213541666667
114.001,33,114,114,10.0049284277435,698.825520833333
115.001,24,115,115,8.8855716088216,699.6015625
116,23,116,116,6.66648667152654,699.6015625
117.001,23,117,117,12.2079971926046,699.213541666667
118.001,28,118,118,12.0079660847006,698.825520833333
119.001,28,119,119,10.0264578168872,698.4375
120,25,120,120,5.54037676999802,698.825520833333
121,33,121,121,4.4400152825326,699.6015625
122.001,36,122,122,7.76270174845985,699.6015625
123.001,37,123,123,7.00992535330775,699.6015625
124.001,35,124,124,8.88648953671398,698.825520833333
125,36,125,125,13.9775799617414,699.6015625
126,31,126,126,3.00069195956588,699.6015625
127,25,127,127,5.01041263954751,698.4375
128,20,128,128,12.2126000503381,698.4375
129.001,33,129,129,5.00243368398726,698.4375
130.001,31,130,130,14.4416796651041,699.213541666667
131,34,131,131,16.6634968992565,698.4375
132,38,132,132,7.00123851909403,698.825520833333
133,35,133,133,8.88349759290528,699.6015625
134,37,134,134,9.98947220623598,698.4375
135.001,26,135,135,6.01243552038682,698.4375
136,36,136,136,9.98996563451822,698.4375
137.001,22,137,137,10.9815751132749,698.4375
138.001,42,138,138,7.01883645138458,698.4375
139.001,35,139,139,13.3074400122783,698.4375
139.999,26,140,140,9.00354739767468,698.4375
141,28,141,141,15.0090789918822,698.825520833333
142.001,36,142,142,2.99752853772065,698.4375
143,36,143,143,16.007574784388,699.213541666667
144.001,30,144,144,9.96113276673672,698.825520833333
145.001,24,145,145,10.0144618844073,698.4375
146.001,32,146,146,11.1045606541652,698.825520833333
147,26,147,147,7.00675731675628,698.825520833333
148,30,148,148,6.99859048387655,698.4375
149,27,149,149,11.9786504513006,698.4375
150,25,150,150,7.02012529519627,698.4375
151,31,151,151,13.3230139188857,698.4375
152.001,27,152,152,11.0004180158846,699.6015625
153.001,34,153,153,9.9819459870248,699.213541666667
154,36,154,154,9.01437612704741,698.825520833333
155,24,155,155,7.7721904364307,698.825520833333
156,27,156,156,6.01012284991611,698.825520833333
157,27,157,157,7.75233118136003,698.825520833333
158,23,158,158,15.0302318082591,699.213541666667
159,31,159,159,12.9934097425786,698.4375
160.001,27,160,160,12.0255434568567,699.6015625
161.001,22,161,161,7.75581589244235,699.6015625
162.001,19,162,162,7.76820648425512,698.825520833333
163,25,163,163,8.01054828998826,699.213541666667
164.001,21,164,164,11.0057604150012,699.213541666667
165,32,165,165,16.6655648876547,699.213541666667
166.001,22,166,166,5.54355622014171,699.6015625
167.001,22,167,167,6.65256839588725,699.6015625
167.999,27,168,168,6.665623126335,699.213541666667
169,26,169,169,11.0109592076994,699.6015625
170.001,19,170,170,9.97437803934537,699.6015625
171.001,32,171,171,7.0133548302678,699.6015625
172,28,172,172,12.2131437853418,699.6015625
173.001,22,173,173,11.0180144536317,699.989583333333
173.999,24,174,174,6.65898515734405,699.6015625
175,20,175,175,9.98153969686064,699.213541666667
176.001,19,176,176,3.99969202371417,699.6015625
177.001,27,177,177,11.0238777191397,699.6015625
178,20,178,178,7.76791856291731,699.6015625
179.001,23,179,179,17.0102469727764,699.6015625
180.001,23,180,180,8.86974108893146,699.6015625
181.001,21,181,181,7.00978706469973,699.6015625
182,30,182,182,10.0033911495997,698.825520833333
183.001,21,183,183,13.0035954941541,699.6015625
184,23,184,184,12.2120509406832,698.825520833333
185.001,22,185,185,6.00520951925796,699.213541666667
185.999,24,186,186,6.00301591519579,698.825520833333
187,22,187,187,3.33199165136172,699.6015625
188.001,27,188,188,9.99579621237069,699.6015625
189.001,21,189,189,11.9749460179413,699.6015625
190.001,28,190,190,7.0038514178947,699.6015625
191,23,191,191,14.0224653918042,699.213541666667
192,26,192,192,8.01234702676825,698.825520833333
193.001,19,193,193,7.76531014094038,698.825520833333
194,32,194,194,13.3108675468848,698.4375
195,15,195,195,8.99256135324859,698.4375
196.001,21,196,196,8.01718644257695,698.4375
