Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,698.4375,0
1.001,0,1,1,10.51408625,699.6015625,0
2,0,2,2,15.52962109,699.6015625,0
3.001,0,3,3,10.00390753,699.6015625,0
4,0,4,4,7.772620212,699.6015625,0
5,0,5,5,8.005527817,698.8255208,0
6,0,6,6,7.776428135,698.4375,0
7,0,7,7,14.01190872,698.8255208,0
8.001,0,8,8,3.32519068,699.2135417,0
9,0,9,9,4.00959898,698.4375,0
10,0,10,10,8.872622414,699.6015625,0
11,0,11,11,11.02759545,699.6015625,0
12.001,0,12,12,4.434197015,699.6015625,0
13,0,13,13,9.010055222,699.6015625,0
14,0,14,14,14.42331269,699.6015625,0
15,0,15,15,13.98205543,699.6015625,0
16,0,16,16,9.017799332,698.8255208,0
17,0.166666667,17,17,7.777269663,698.4375,2
18.001,0.083333333,18,18,11.10521794,698.4375,1
19.001,0.75,19,19,11.02094751,698.4375,9
20,0.416666667,20,20,14.4201321,698.8255208,5
21.001,0.75,21,21,11.00540035,698.4375,9
22.001,1.083333333,22,22,14.43594328,698.8255208,13
23.001,1.083333333,23,23,9.983905944,699.2135417,13
24,0.583333333,24,24,7.018612659,699.6015625,7
25,1.166666667,25,25,8.882007307,699.6015625,14
26,1.083333333,26,26,4.995929816,699.6015625,13
27,1.333333333,27,27,9.006526129,699.6015625,16
28,1.166666667,28,28,6.660826602,699.6015625,14
29.001,0.666666667,29,29,4.442230733,699.6015625,8
30,1.25,30,30,16.01496759,699.6015625,15
31,0.833333333,31,31,13.02309255,698.4375,10
32.001,1.666666667,32,32,6.658632656,699.6015625,20
33,1.083333333,33,33,5.552599722,699.2135417,13
34.001,1.666666667,34,34,11.00568444,698.8255208,20
35,0.916666667,35,35,7.777608399,698.8255208,11
36,1.583333333,36,36,7.988984788,699.2135417,19
37,1.5,37,37,2.997310813,698.4375,18
38.001,1.166666667,38,38,14.4245914,698.4375,14
39,1.083333333,39,39,4.007248712,698.4375,13
40,1.416666667,40,40,6.996894079,698.8255208,17
41,1.666666667,41,41,7.770055206,698.8255208,20
42.001,1.083333333,42,42,7.019010991,698.4375,13
43,1.583333333,43,43,5.551435157,698.8255208,19
44.001,1.25,44,44,12.21996017,698.4375,15
45.001,1.583333333,45,45,12.21930724,698.4375,19
46,1.25,46,46,11.00108361,698.4375,15
47.001,1.5,47,47,14.42394641,698.4375,18
48,2,48,48,7.009302747,699.6015625,24
49.001,1.416666667,49,49,7.998565057,698.8255208,17
50,1.416666667,50,50,9.991729069,699.6015625,17
51,1.333333333,51,51,10.00653427,699.6015625,16
52,1.666666667,52,52,7.758356027,699.6015625,20
53,1.416666667,53,53,13.00454899,699.6015625,17
54,0.916666667,54,54,8.011541427,699.6015625,11
55.001,1.5,55,55,11.99785118,698.8255208,18
56.001,1.583333333,56,56,4.000983442,699.6015625,19
57.001,1.833333333,57,57,13.33179721,699.6015625,22
58,1.75,58,58,6.661091333,699.6015625,21
59,2.083333333,59,59,16.0053634,699.2135417,25
60,1.666666667,60,60,15.53091317,698.4375,20
61,1.416666667,61,61,6.664160942,698.4375,17
62,2.166666667,62,62,9.007963039,698.8255208,26
63,1.333333333,63,63,8.879055828,698.4375,16
64.001,1.083333333,64,64,5.006549067,698.8255208,13
65,2.333333333,65,65,6.66638816,698.8255208,28
66.001,1.75,66,66,12.01429942,698.8255208,21
67,2.166666667,67,67,15.538158,698.4375,26
68,2.833333333,68,68,5.998725871,699.6015625,34
69,2.25,69,69,6.655305321,699.6015625,27
70,2.916666667,70,70,10.01897694,699.6015625,35
71,2.666666667,71,71,13.32534109,699.2135417,32
72.001,3.083333333,72,72,10.99477968,699.6015625,37
73,2.416666667,73,73,10.00919745,699.6015625,29
74.001,3.5,74,74,7.777640373,699.6015625,42
75.001,2.916666667,75,75,10.00680463,699.2135417,35
76.001,3.166666667,76,76,14.42980781,698.8255208,38
77.001,2.833333333,77,77,8.994104365,699.6015625,34
78,3.916666667,78,78,12.00052802,699.6015625,47
79,4.083333333,79,79,8.017441945,699.6015625,49
80.001,3.5,80,80,14.41009398,699.2135417,42
80.999,3.583333333,81,81,12.21478206,699.6015625,43
82,4.083333333,82,82,7.006793086,698.8255208,49
83,3.666666667,83,83,9.983172808,698.8255208,44
84,3.916666667,84,84,13.98129163,698.4375,47
85.001,3.333333333,85,85,13.02325171,698.8255208,40
86.001,3.083333333,86,86,6.996131839,698.4375,37
87.001,3.333333333,87,87,14.44343822,698.4375,40
88.001,3.333333333,88,88,6.001603628,698.4375,40
89,3.5,89,89,7.012415482,699.2135417,42
90.001,2.833333333,90,90,4.44204426,698.4375,34
91,2.583333333,91,91,3.327709504,699.2135417,31
92.001,2.916666667,92,92,6.003029128,698.8255208,35
93.001,2.75,93,93,14.00763136,699.2135417,33
94,2.916666667,94,94,4.443715181,699.6015625,35
