Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
128,3.833333333,128,128,20.03958419,698.4375,23
129,3.666666667,129,129,14.43648032,698.4375,22
130,4.166666667,130,130,10.99493793,698.4375,25
131,4.333333333,131,131,12.21872767,698.4375,26
132,3.666666667,132,132,11.10509338,698.4375,22
133.001,4.166666667,133,133,8.880705812,698.4375,25
134,4,134,134,15.03102705,698.4375,24
135.001,4.833333333,135,135,8.871832298,698.4375,29
136,4.666666667,136,136,18.88320085,698.4375,28
137.001,1.833333333,137,137,9.998516887,698.4375,11
138.001,5.166666667,138,138,11.99897769,698.4375,31
139,4,139,139,13.9933042,698.4375,24
140.001,3.166666667,140,140,15.02881475,698.4375,19
141,2.5,141,141,11.08554169,697.6614583,15
142,4,142,142,8.016350951,698.4375,24
143,3,143,143,13.29801528,698.4375,18
144.001,3.833333333,144,144,11.10897942,698.0494792,23
145,3.166666667,145,145,12.02460595,698.4375,19
146.001,3.333333333,146,146,7.757172143,698.4375,20
147,3.833333333,147,147,5.009056876,698.4375,23
148,3.333333333,148,148,14.43480681,698.4375,20
149,5,149,149,13.32618606,698.4375,30
150.001,4,150,150,15.55400188,698.4375,24
151.001,4,151,151,12.99954112,698.4375,24
152.001,1.166666667,152,152,10.00027201,698.4375,7
153.001,2.5,153,153,16.9933505,698.0494792,15
154,3.166666667,154,154,14.00760473,698.4375,19
155,1.833333333,155,155,11.09836033,698.0494792,11
156,3,156,156,9.011900214,698.4375,18
157.001,4,157,157,9.989238261,698.4375,24
158,6.166666667,158,158,12.01708469,698.4375,37
159.001,3,159,159,4.442442877,698.4375,18
160,3.5,160,160,14.43565794,698.4375,21
161,3,161,161,12.22021811,698.4375,18
162,2.666666667,162,162,12.02401798,698.4375,16
163,4.166666667,163,163,11.10647848,698.0494792,25
164,3.666666667,164,164,13.32474775,698.4375,22
165,3.333333333,165,165,12.22173743,698.4375,20
166,3.166666667,166,166,7.773969397,699.2135417,19
167.001,2.5,167,167,18.88872729,698.4375,15
