Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,699.6015625,
1.001,0,1,1,88.7479627588192,748.880208333333,0.621235739311734
2.001,1,2,2,91.9663862858125,748.4921875,0.643764704000688
3,9,3,3,99.980692617359,749.268229166667,0.699864848321513
4.001,9,4,4,107.749272109234,749.268229166667,0.75424490476464
5,16,5,5,101.030996309668,749.65625,0.707216974167675
5.999,22,6,6,105.071848129751,751.596354166667,0.735502936908258
7,47,7,7,83.0440797975565,749.65625,0.581308558582896
8,59,8,8,77.7359126701431,748.880208333333,0.544151388691002
9.001,64,9,9,89.9168768427409,748.880208333333,0.629418137899187
10.001,28,10,10,88.7933866685609,748.4921875,0.621553706679926
11,16,11,11,80.1493342395551,752.372395833333,0.561045339676886
12,17,12,12,77.6845821740297,749.65625,0.543792075218208
13.001,19,13,13,96.1345017814424,752.372395833333,0.672941512470097
14,22,14,14,89.9107485968928,748.880208333333,0.62937524017825
15,14,15,15,109.972299199746,749.65625,0.769806094398222
16.001,33,16,16,81.0586571534154,749.65625,0.567410600073908
17.001,21,17,17,84.0162907587781,751.208333333333,0.588114035311447
18.001,30,18,18,88.0749870439692,749.65625,0.616524909307785
19,36,19,19,88.8464400342059,749.268229166667,0.621925080239441
20,45,20,20,82.2141652340293,753.1484375,0.575499156638205
21.001,46,21,21,80.9485248330587,750.044270833333,0.566639673831411
22.001,36,22,22,98.8199784239346,750.432291666667,0.691739848967542
23,38,23,23,86.2423409781486,748.880208333333,0.60369638684704
24,34,24,24,100.978638357435,750.432291666667,0.706850468502044
25.001,21,25,25,103.250285686879,748.880208333333,0.722751999808154
26.001,40,26,26,88.8818079715205,749.65625,0.622172655800644
27.001,22,27,27,91.0114492403144,749.65625,0.637080144682201
28,20,28,28,92.1728332796827,748.4921875,0.645209832957779
29,24,29,29,89.8940049799059,749.268229166667,0.629258034859341
30,31,30,30,107.681642000725,749.65625,0.753771494005074
31.001,21,31,31,76.0033365464744,750.432291666667,0.532023355825321
32.001,28,32,32,89.1695291087415,750.044270833333,0.624186703761191
33,38,33,33,95.5494722391563,749.65625,0.668846305674094
34,39,34,34,78.7933563217574,748.880208333333,0.551553494252302
35.001,41,35,35,98.117289407758,749.65625,0.686821025854306
36.001,26,36,36,75.4926031126266,749.268229166667,0.528448221788386
