Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
,1,193,193,,
,1,194,194,,
,3,195,195,,
,1,196,196,,
,0,197,197,,
,2,198,198,,
,2,199,199,,
,0,200,200,,
,0,201,201,,
,6,202,202,,
,2,203,203,,
,4,204,204,,
,2,205,205,,
,4,206,206,,
,3,207,207,,
,3,208,208,,
,2,209,209,,
,2,210,210,,
,2,211,211,,
,2,212,212,,
,5,213,213,,
,4,214,214,,
,2,215,215,,
,1,216,216,,
,1,217,217,,
,0,218,218,,
,1,219,219,,
,1,220,220,,
,0,221,221,,
,0,222,222,,
,0,223,223,,
,0,224,224,,
,2,225,225,,
,1,226,226,,
,0,227,227,,
,0,228,228,,
,1,229,229,,
,1,230,230,,
,1,231,231,,
,0,232,232,,
,1,233,233,,
,0,234,234,,
,1,235,235,,
,1,236,236,,
,0,237,237,,
,0,238,238,,
,2,239,239,,
,0,240,240,,
,0,241,241,,
,0,242,242,,
,0,243,243,,
,3,244,244,,
,1,245,245,,
,1,246,246,,
,0,247,247,,
,0,248,248,,
,1,249,249,,
,0,250,250,,
,0,251,251,,
,0,252,252,,
,0,253,253,,
,0,254,254,,
,0,255,255,,
,0,256,256,,
,0,257,257,,
,1,258,258,,
,1,259,259,,
,0,260,260,,
,0,261,261,,
,0,262,262,,
,0,263,263,,
,0,264,264,,
,0,265,265,,
,0,266,266,,
,0,267,267,,
,0,268,268,,
,0,269,269,,
,0,270,270,,
,0,271,271,,
,0,272,272,,
,0,273,273,,
,0,274,274,,
,0,275,275,,
,0,276,276,,
,0,277,277,,
,0,278,278,,
,0,279,279,,
,0,280,280,,
,0,281,281,,
,0,282,282,,
,0,283,283,,
,0,284,284,,
,0,285,285,,
,0,286,286,,
,0,287,287,,
,0,288,288,,
,0,289,289,,
,0,290,290,,
,0,291,291,,
,0,292,292,,
,0,293,293,,
,0,294,294,,
,0,295,295,,
,0,296,296,,
,0,297,297,,
,0,298,298,,
,0,299,299,,
,0,300,300,,
,0,301,301,,
,0,302,302,,
,0,303,303,,
,0,304,304,,
,0,305,305,,
,0,306,306,,
,0,307,307,,
,0,308,308,,
,0,309,309,,
,0,310,310,,
,0,311,311,,
,0,312,312,,
,0,313,313,,
,0,314,314,,
,0,315,315,,
,0,316,316,,
,0,317,317,,
,0,318,318,,
,0,319,319,,
,0,320,320,,
,0,321,321,,
,1,322,322,,
,0,323,323,,
,0,324,324,,
,0,325,325,,
,0,326,326,,
,0,327,327,,
,0,328,328,,
,0,329,329,,
,0,330,330,,
,0,331,331,,
,0,332,332,,
,1,333,333,,
,0,334,334,,
,0,335,335,,
,0,336,336,,
,1,337,337,,
,0,338,338,,
,0,339,339,,
,0,340,340,,
,0,341,341,,
,0,342,342,,
,0,343,343,,
,0,344,344,,
,0,345,345,,
,0,346,346,,
,0,347,347,,
