Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,698.4375,0
1.001,0,1,1,9.540432086,698.4375,0
2.001,0,2,2,7.766426714,698.4375,0
3,0,3,3,8.9941538,698.4375,0
4,0,4,4,12.00618919,698.4375,0
5.001,0,5,5,8.872051706,698.4375,0
6.001,0,6,6,14.01518966,698.4375,0
7,0,7,7,11.09503071,698.4375,0
8.001,0,8,8,14.03060355,698.4375,0
9,0,9,9,12.22068242,698.4375,0
10,0,10,10,11.08953949,698.4375,0
11.001,0,11,11,10.020021,698.4375,0
12,0,12,12,11.08760416,698.8255208,0
13.001,0,13,13,12.01739999,698.4375,0
14.001,0.083333333,14,14,12.98958365,698.8255208,1
14.999,0,15,15,10.00918042,698.4375,0
16,0.083333333,16,16,8.886109511,698.8255208,1
17.001,0.25,17,17,18.00357551,698.4375,3
18,0.916666667,18,18,15.53989307,698.4375,11
19.001,0.583333333,19,19,9.989132933,698.8255208,7
20,1.083333333,20,20,9.999674455,698.4375,13
21,0.166666667,21,21,11.00079096,698.8255208,2
22.002,1.166666667,22,22,21.98282921,698.4375,14
23,0.833333333,23,23,7.997249746,698.4375,10
24.001,0.666666667,24,24,8.005736911,698.4375,8
25,0.75,25,25,18.0048307,698.4375,9
26.001,0.833333333,26,26,8.880774821,698.4375,10
27,1.416666667,27,27,19.00298537,698.4375,17
28,0.583333333,28,28,13.00251599,698.4375,7
29,1.833333333,29,29,11.99598255,698.4375,22
30,1.416666667,30,30,13.33276743,698.4375,17
31,2.25,31,31,18.02378599,698.4375,27
32.001,2.25,32,32,17.75404063,698.4375,27
33,2.166666667,33,33,10.02062244,698.4375,26
34,1.666666667,34,34,15.50545399,698.4375,20
35.002,1.833333333,35,35,12.02353246,698.4375,22
36.001,1.75,36,36,18.84610196,698.4375,21
37.001,1.25,37,37,17.04928608,698.4375,15
38.001,1.666666667,38,38,8.87864195,698.4375,20
39.001,1.583333333,39,39,12.9854978,698.4375,19
40,1.416666667,40,40,8.888736793,698.4375,17
41.001,1.5,41,41,12.01131947,698.4375,18
42.001,2.416666667,42,42,10.9920187,698.4375,29
43,2.083333333,43,43,14.42892533,698.4375,25
44,1.5,44,44,13.01838587,698.4375,18
45,2.416666667,45,45,12.9958933,698.4375,29
46,2,46,46,11.10922871,698.4375,24
47,2.916666667,47,47,7.774359651,698.8255208,35
48.001,2.333333333,48,48,5.008995655,698.4375,28
49,2.25,49,49,13.32495638,698.8255208,27
50,2.416666667,50,50,13.98792003,698.8255208,29
51.001,1.416666667,51,51,14.4424915,698.4375,17
52,2.333333333,52,52,20.01816048,698.8255208,28
53.001,1.75,53,53,10.99253277,698.8255208,21
54,2.666666667,54,54,11.99308958,698.4375,32
55,1.666666667,55,55,17.99269497,698.8255208,20
56.001,1.416666667,56,56,10.0112296,698.4375,17
57,2.416666667,57,57,11.11065311,698.4375,29
58,0.833333333,58,58,12.00811869,698.4375,10
59.001,1.5,59,59,9.004812172,698.4375,18
60,1.833333333,60,60,11.11075804,698.4375,22
60.999,2,61,61,6.988038574,698.4375,24
62.001,2.166666667,62,62,15.02621774,698.4375,26
63,1.916666667,63,63,12.21572753,698.4375,23
64,1.5,64,64,11.01437707,698.4375,18
65,1.666666667,65,65,9.982533893,698.4375,20
66.001,2.666666667,66,66,9.989374303,698.4375,32
67,2,67,67,14.01761173,698.4375,24
68.001,2,68,68,20.98574438,698.4375,24
69.001,2.75,69,69,8.888093898,698.4375,33
70,3.083333333,70,70,6.664102468,698.4375,37
71.001,3.25,71,71,12.20776416,698.4375,39
72,3.25,72,72,11.1096323,698.4375,39
73.001,2.166666667,73,73,9.009950589,698.4375,26
74,4.25,74,74,12.20932917,698.4375,51
75,4.5,75,75,15.54490039,698.4375,54
76,3.583333333,76,76,17.01687564,698.4375,43
77.001,4.083333333,77,77,8.997558962,698.4375,49
78,4.833333333,78,78,5.552023851,698.4375,58
79.001,4.25,79,79,15.54685105,698.4375,51
80,4.166666667,80,80,18.02912605,698.4375,50
81,5.416666667,81,81,19.98040588,698.4375,65
82,4.833333333,82,82,5.552541759,698.4375,58
83.001,3.666666667,83,83,11.006876,698.4375,44
84.001,4.166666667,84,84,16.00087205,698.4375,50
85.001,4.416666667,85,85,10.00035701,698.4375,53
86.001,4.416666667,86,86,15.98257101,698.4375,53
87.001,4.083333333,87,87,12.01408772,698.4375,49
88,3.583333333,88,88,14.98690594,698.4375,43
89,3.416666667,89,89,17.7710011,699.2135417,41
90.001,3.75,90,90,8.01033734,698.4375,45
91,4.333333333,91,91,6.00131909,698.4375,52
92,2.916666667,92,92,9.988085324,698.4375,35
93,2.666666667,93,93,7.77442959,698.4375,32
94.001,3.25,94,94,12.21710326,698.4375,39
95.001,3,95,95,9.014444746,699.2135417,36
96,3.333333333,96,96,13.33117368,698.4375,40
97,2.833333333,97,97,14.99616698,698.8255208,34
98.001,2.666666667,98,98,10.99421704,698.4375,32
99.001,2.333333333,99,99,9.992842127,699.2135417,28
100.001,2.25,100,100,11.01025054,698.4375,27
101,2.416666667,101,101,10.9845261,698.4375,29
102,2.5,102,102,14.01014194,698.4375,30
103,2.25,103,103,18.01812263,698.4375,27
104.001,2.333333333,104,104,9.011911945,698.4375,28
105,3.083333333,105,105,7.771870293,698.4375,37
106,2.083333333,106,106,12.00349422,698.4375,25
107.001,2.833333333,107,107,14.43176694,698.4375,34
108.001,3,108,108,16.0025172,698.4375,36
109,2.666666667,109,109,11.98908274,698.4375,32
110.001,2.5,110,110,11.10751474,698.4375,30
111,1.916666667,111,111,13.99192666,698.4375,23
112.001,2,112,112,8.013830268,698.4375,24
113,2.25,113,113,8.005259455,698.4375,27
114,2.083333333,114,114,14.42862906,698.4375,25
115.001,3.166666667,115,115,12.99360715,698.4375,38
116,3.083333333,116,116,13.0061376,698.4375,37
117.001,1.916666667,117,117,11.98685282,698.4375,23
118.001,2.083333333,118,118,13.33173797,698.8255208,25
119,1.666666667,119,119,8.017400164,698.8255208,20
120.001,2.583333333,120,120,17.95392842,698.8255208,31
